snapshot_id,website_id,snapshot_version,snapshot_timestamp_iso,version_count_at_snapshot,latest_release_version,stale_eligible,split
SNAP-W008-V07,W008,V07,2026-02-12T00:00:00Z,7,V10,yes,train
SNAP-W008-V08,W008,V08,2026-02-19T00:00:00Z,8,V10,yes,train
SNAP-W008-V09,W008,V09,2026-02-26T00:00:00Z,9,V10,yes,train
SNAP-W009-V01,W009,V01,2026-01-01T00:00:00Z,1,V10,yes,train
SNAP-W009-V02,W009,V02,2026-01-08T00:00:00Z,2,V10,yes,train
SNAP-W009-V03,W009,V03,2026-01-15T00:00:00Z,3,V10,yes,train
SNAP-W009-V04,W009,V04,2026-01-22T00:00:00Z,4,V10,yes,train
SNAP-W009-V05,W009,V05,2026-01-29T00:00:00Z,5,V10,yes,train
SNAP-W009-V06,W009,V06,2026-02-05T00:00:00Z,6,V10,yes,train
SNAP-W009-V07,W009,V07,2026-02-12T00:00:00Z,7,V10,yes,train
SNAP-W009-V08,W009,V08,2026-02-19T00:00:00Z,8,V10,yes,train
SNAP-W009-V09,W009,V09,2026-02-26T00:00:00Z,9,V10,yes,train
SNAP-W010-V01,W010,V01,2026-01-01T00:00:00Z,1,V10,yes,train
SNAP-W010-V02,W010,V02,2026-01-08T00:00:00Z,2,V10,yes,train
SNAP-W010-V03,W010,V03,2026-01-15T00:00:00Z,3,V10,yes,train
SNAP-W010-V04,W010,V04,2026-01-22T00:00:00Z,4,V10,yes,train
SNAP-W010-V05,W010,V05,2026-01-29T00:00:00Z,5,V10,yes,train
SNAP-W010-V06,W010,V06,2026-02-05T00:00:00Z,6,V10,yes,train
SNAP-W010-V07,W010,V07,2026-02-12T00:00:00Z,7,V10,yes,train
SNAP-W010-V08,W010,V08,2026-02-19T00:00:00Z,8,V10,yes,train
SNAP-W010-V09,W010,V09,2026-02-26T00:00:00Z,9,V10,yes,train
SNAP-W011-V01,W011,V01,2026-01-01T00:00:00Z,1,V10,yes,train
SNAP-W011-V02,W011,V02,2026-01-08T00:00:00Z,2,V10,yes,train
SNAP-W011-V03,W011,V03,2026-01-15T00:00:00Z,3,V10,yes,train
SNAP-W011-V04,W011,V04,2026-01-22T00:00:00Z,4,V10,yes,train
SNAP-W011-V05,W011,V05,2026-01-29T00:00:00Z,5,V10,yes,train
SNAP-W011-V06,W011,V06,2026-02-05T00:00:00Z,6,V10,yes,train
SNAP-W011-V07,W011,V07,2026-02-12T00:00:00Z,7,V10,yes,train
SNAP-W011-V08,W011,V08,2026-02-19T00:00:00Z,8,V10,yes,train
SNAP-W011-V09,W011,V09,2026-02-26T00:00:00Z,9,V10,yes,train
SNAP-W012-V01,W012,V01,2026-01-01T00:00:00Z,1,V10,yes,train
SNAP-W012-V02,W012,V02,2026-01-08T00:00:00Z,2,V10,yes,train
SNAP-W012-V03,W012,V03,2026-01-15T00:00:00Z,3,V10,yes,train
SNAP-W012-V04,W012,V04,2026-01-22T00:00:00Z,4,V10,yes,train
SNAP-W012-V05,W012,V05,2026-01-29T00:00:00Z,5,V10,yes,train
SNAP-W012-V06,W012,V06,2026-02-05T00:00:00Z,6,V10,yes,train
SNAP-W012-V07,W012,V07,2026-02-12T00:00:00Z,7,V10,yes,train
SNAP-W012-V08,W012,V08,2026-02-19T00:00:00Z,8,V10,yes,train
SNAP-W012-V09,W012,V09,2026-02-26T00:00:00Z,9,V10,yes,train
SNAP-W013-V01,W013,V01,2026-01-01T00:00:00Z,1,V10,yes,train
SNAP-W013-V02,W013,V02,2026-01-08T00:00:00Z,2,V10,yes,train
SNAP-W013-V03,W013,V03,2026-01-15T00:00:00Z,3,V10,yes,train
SNAP-W013-V04,W013,V04,2026-01-22T00:00:00Z,4,V10,yes,train
SNAP-W013-V05,W013,V05,2026-01-29T00:00:00Z,5,V10,yes,train
SNAP-W013-V06,W013,V06,2026-02-05T00:00:00Z,6,V10,yes,train
SNAP-W013-V07,W013,V07,2026-02-12T00:00:00Z,7,V10,yes,train
SNAP-W013-V08,W013,V08,2026-02-19T00:00:00Z,8,V10,yes,train
SNAP-W013-V09,W013,V09,2026-02-26T00:00:00Z,9,V10,yes,train
SNAP-W014-V01,W014,V01,2026-01-01T00:00:00Z,1,V10,yes,train
SNAP-W014-V02,W014,V02,2026-01-08T00:00:00Z,2,V10,yes,train
SNAP-W014-V03,W014,V03,2026-01-15T00:00:00Z,3,V10,yes,train
SNAP-W014-V04,W014,V04,2026-01-22T00:00:00Z,4,V10,yes,train
SNAP-W014-V05,W014,V05,2026-01-29T00:00:00Z,5,V10,yes,train
SNAP-W014-V06,W014,V06,2026-02-05T00:00:00Z,6,V10,yes,train
SNAP-W014-V07,W014,V07,2026-02-12T00:00:00Z,7,V10,yes,train
SNAP-W014-V08,W014,V08,2026-02-19T00:00:00Z,8,V10,yes,train
SNAP-W014-V09,W014,V09,2026-02-26T00:00:00Z,9,V10,yes,train
SNAP-W015-V01,W015,V01,2026-01-01T00:00:00Z,1,V10,yes,train
SNAP-W015-V02,W015,V02,2026-01-08T00:00:00Z,2,V10,yes,train
SNAP-W015-V03,W015,V03,2026-01-15T00:00:00Z,3,V10,yes,train
SNAP-W015-V04,W015,V04,2026-01-22T00:00:00Z,4,V10,yes,train
SNAP-W015-V05,W015,V05,2026-01-29T00:00:00Z,5,V10,yes,train
SNAP-W015-V06,W015,V06,2026-02-05T00:00:00Z,6,V10,yes,train
SNAP-W015-V07,W015,V07,2026-02-12T00:00:00Z,7,V10,yes,train
SNAP-W015-V08,W015,V08,2026-02-19T00:00:00Z,8,V10,yes,train
SNAP-W015-V09,W015,V09,2026-02-26T00:00:00Z,9,V10,yes,train
SNAP-W016-V01,W016,V01,2026-01-01T00:00:00Z,1,V10,yes,train
SNAP-W016-V02,W016,V02,2026-01-08T00:00:00Z,2,V10,yes,train
SNAP-W016-V03,W016,V03,2026-01-15T00:00:00Z,3,V10,yes,train
SNAP-W016-V04,W016,V04,2026-01-22T00:00:00Z,4,V10,yes,train
SNAP-W016-V05,W016,V05,2026-01-29T00:00:00Z,5,V10,yes,train
SNAP-W016-V06,W016,V06,2026-02-05T00:00:00Z,6,V10,yes,train
SNAP-W016-V07,W016,V07,2026-02-12T00:00:00Z,7,V10,yes,train
SNAP-W016-V08,W016,V08,2026-02-19T00:00:00Z,8,V10,yes,train
SNAP-W016-V09,W016,V09,2026-02-26T00:00:00Z,9,V10,yes,train
SNAP-W017-V01,W017,V01,2026-01-01T00:00:00Z,1,V10,yes,train
SNAP-W017-V02,W017,V02,2026-01-08T00:00:00Z,2,V10,yes,train
SNAP-W017-V03,W017,V03,2026-01-15T00:00:00Z,3,V10,yes,train
SNAP-W017-V04,W017,V04,2026-01-22T00:00:00Z,4,V10,yes,train
SNAP-W017-V05,W017,V05,2026-01-29T00:00:00Z,5,V10,yes,train
SNAP-W017-V06,W017,V06,2026-02-05T00:00:00Z,6,V10,yes,train
SNAP-W017-V07,W017,V07,2026-02-12T00:00:00Z,7,V10,yes,train
SNAP-W017-V08,W017,V08,2026-02-19T00:00:00Z,8,V10,yes,train
SNAP-W017-V09,W017,V09,2026-02-26T00:00:00Z,9,V10,yes,train
SNAP-W018-V01,W018,V01,2026-01-01T00:00:00Z,1,V10,yes,train
SNAP-W018-V02,W018,V02,2026-01-08T00:00:00Z,2,V10,yes,train
SNAP-W018-V03,W018,V03,2026-01-15T00:00:00Z,3,V10,yes,train
SNAP-W018-V04,W018,V04,2026-01-22T00:00:00Z,4,V10,yes,train
SNAP-W018-V05,W018,V05,2026-01-29T00:00:00Z,5,V10,yes,train
SNAP-W018-V06,W018,V06,2026-02-05T00:00:00Z,6,V10,yes,train
SNAP-W018-V07,W018,V07,2026-02-12T00:00:00Z,7,V10,yes,train
SNAP-W018-V08,W018,V08,2026-02-19T00:00:00Z,8,V10,yes,train
SNAP-W018-V09,W018,V09,2026-02-26T00:00:00Z,9,V10,yes,train
SNAP-W019-V01,W019,V01,2026-01-01T00:00:00Z,1,V10,yes,train
SNAP-W019-V02,W019,V02,2026-01-08T00:00:00Z,2,V10,yes,train
SNAP-W019-V03,W019,V03,2026-01-15T00:00:00Z,3,V10,yes,train
SNAP-W019-V04,W019,V04,2026-01-22T00:00:00Z,4,V10,yes,train
SNAP-W019-V05,W019,V05,2026-01-29T00:00:00Z,5,V10,yes,train
SNAP-W019-V06,W019,V06,2026-02-05T00:00:00Z,6,V10,yes,train
SNAP-W019-V07,W019,V07,2026-02-12T00:00:00Z,7,V10,yes,train
SNAP-W019-V08,W019,V08,2026-02-19T00:00:00Z,8,V10,yes,train
SNAP-W019-V09,W019,V09,2026-02-26T00:00:00Z,9,V10,yes,train
SNAP-W020-V01,W020,V01,2026-01-01T00:00:00Z,1,V10,yes,train
SNAP-W020-V02,W020,V02,2026-01-08T00:00:00Z,2,V10,yes,train
SNAP-W020-V03,W020,V03,2026-01-15T00:00:00Z,3,V10,yes,train
SNAP-W020-V04,W020,V04,2026-01-22T00:00:00Z,4,V10,yes,train
SNAP-W020-V05,W020,V05,2026-01-29T00:00:00Z,5,V10,yes,train
SNAP-W020-V06,W020,V06,2026-02-05T00:00:00Z,6,V10,yes,train
SNAP-W020-V07,W020,V07,2026-02-12T00:00:00Z,7,V10,yes,train
SNAP-W020-V08,W020,V08,2026-02-19T00:00:00Z,8,V10,yes,train
SNAP-W020-V09,W020,V09,2026-02-26T00:00:00Z,9,V10,yes,train
SNAP-W021-V01,W021,V01,2026-01-01T00:00:00Z,1,V10,yes,train
SNAP-W021-V02,W021,V02,2026-01-08T00:00:00Z,2,V10,yes,train
SNAP-W021-V03,W021,V03,2026-01-15T00:00:00Z,3,V10,yes,train
SNAP-W021-V04,W021,V04,2026-01-22T00:00:00Z,4,V10,yes,train
SNAP-W021-V05,W021,V05,2026-01-29T00:00:00Z,5,V10,yes,train
SNAP-W021-V06,W021,V06,2026-02-05T00:00:00Z,6,V10,yes,train
SNAP-W021-V07,W021,V07,2026-02-12T00:00:00Z,7,V10,yes,train
SNAP-W021-V08,W021,V08,2026-02-19T00:00:00Z,8,V10,yes,train
SNAP-W021-V09,W021,V09,2026-02-26T00:00:00Z,9,V10,yes,train
SNAP-W022-V01,W022,V01,2026-01-01T00:00:00Z,1,V10,yes,train
SNAP-W022-V02,W022,V02,2026-01-08T00:00:00Z,2,V10,yes,train
SNAP-W022-V03,W022,V03,2026-01-15T00:00:00Z,3,V10,yes,train
SNAP-W022-V04,W022,V04,2026-01-22T00:00:00Z,4,V10,yes,train
SNAP-W022-V05,W022,V05,2026-01-29T00:00:00Z,5,V10,yes,train
SNAP-W022-V06,W022,V06,2026-02-05T00:00:00Z,6,V10,yes,train
SNAP-W022-V07,W022,V07,2026-02-12T00:00:00Z,7,V10,yes,train
SNAP-W022-V08,W022,V08,2026-02-19T00:00:00Z,8,V10,yes,train
SNAP-W022-V09,W022,V09,2026-02-26T00:00:00Z,9,V10,yes,train
SNAP-W023-V01,W023,V01,2026-01-01T00:00:00Z,1,V10,yes,train
SNAP-W023-V02,W023,V02,2026-01-08T00:00:00Z,2,V10,yes,train
SNAP-W023-V03,W023,V03,2026-01-15T00:00:00Z,3,V10,yes,train
SNAP-W023-V04,W023,V04,2026-01-22T00:00:00Z,4,V10,yes,train
SNAP-W023-V05,W023,V05,2026-01-29T00:00:00Z,5,V10,yes,train
SNAP-W023-V06,W023,V06,2026-02-05T00:00:00Z,6,V10,yes,train
SNAP-W023-V07,W023,V07,2026-02-12T00:00:00Z,7,V10,yes,train
SNAP-W023-V08,W023,V08,2026-02-19T00:00:00Z,8,V10,yes,train
SNAP-W023-V09,W023,V09,2026-02-26T00:00:00Z,9,V10,yes,train
SNAP-W024-V01,W024,V01,2026-01-01T00:00:00Z,1,V10,yes,train
SNAP-W024-V02,W024,V02,2026-01-08T00:00:00Z,2,V10,yes,train
SNAP-W024-V03,W024,V03,2026-01-15T00:00:00Z,3,V10,yes,train
SNAP-W024-V04,W024,V04,2026-01-22T00:00:00Z,4,V10,yes,train
SNAP-W024-V05,W024,V05,2026-01-29T00:00:00Z,5,V10,yes,train
SNAP-W024-V06,W024,V06,2026-02-05T00:00:00Z,6,V10,yes,train
SNAP-W024-V07,W024,V07,2026-02-12T00:00:00Z,7,V10,yes,train
SNAP-W024-V08,W024,V08,2026-02-19T00:00:00Z,8,V10,yes,train
SNAP-W024-V09,W024,V09,2026-02-26T00:00:00Z,9,V10,yes,train
SNAP-W025-V01,W025,V01,2026-01-01T00:00:00Z,1,V10,yes,train
SNAP-W025-V02,W025,V02,2026-01-08T00:00:00Z,2,V10,yes,train
SNAP-W025-V03,W025,V03,2026-01-15T00:00:00Z,3,V10,yes,train
SNAP-W025-V04,W025,V04,2026-01-22T00:00:00Z,4,V10,yes,train
SNAP-W025-V05,W025,V05,2026-01-29T00:00:00Z,5,V10,yes,train
SNAP-W025-V06,W025,V06,2026-02-05T00:00:00Z,6,V10,yes,train
SNAP-W025-V07,W025,V07,2026-02-12T00:00:00Z,7,V10,yes,train
SNAP-W025-V08,W025,V08,2026-02-19T00:00:00Z,8,V10,yes,train
SNAP-W025-V09,W025,V09,2026-02-26T00:00:00Z,9,V10,yes,train
SNAP-W026-V01,W026,V01,2026-01-01T00:00:00Z,1,V10,yes,train
SNAP-W026-V02,W026,V02,2026-01-08T00:00:00Z,2,V10,yes,train
SNAP-W026-V03,W026,V03,2026-01-15T00:00:00Z,3,V10,yes,train
SNAP-W026-V04,W026,V04,2026-01-22T00:00:00Z,4,V10,yes,train
SNAP-W026-V05,W026,V05,2026-01-29T00:00:00Z,5,V10,yes,train
SNAP-W026-V06,W026,V06,2026-02-05T00:00:00Z,6,V10,yes,train
SNAP-W026-V07,W026,V07,2026-02-12T00:00:00Z,7,V10,yes,train
SNAP-W026-V08,W026,V08,2026-02-19T00:00:00Z,8,V10,yes,train
SNAP-W026-V09,W026,V09,2026-02-26T00:00:00Z,9,V10,yes,train
SNAP-W027-V01,W027,V01,2026-01-01T00:00:00Z,1,V10,yes,train
SNAP-W027-V02,W027,V02,2026-01-08T00:00:00Z,2,V10,yes,train
SNAP-W027-V03,W027,V03,2026-01-15T00:00:00Z,3,V10,yes,train
SNAP-W027-V04,W027,V04,2026-01-22T00:00:00Z,4,V10,yes,train
SNAP-W027-V05,W027,V05,2026-01-29T00:00:00Z,5,V10,yes,train
SNAP-W027-V06,W027,V06,2026-02-05T00:00:00Z,6,V10,yes,train
SNAP-W027-V07,W027,V07,2026-02-12T00:00:00Z,7,V10,yes,train
SNAP-W027-V08,W027,V08,2026-02-19T00:00:00Z,8,V10,yes,train
SNAP-W027-V09,W027,V09,2026-02-26T00:00:00Z,9,V10,yes,train
SNAP-W028-V01,W028,V01,2026-01-01T00:00:00Z,1,V10,yes,train
SNAP-W028-V02,W028,V02,2026-01-08T00:00:00Z,2,V10,yes,train
SNAP-W028-V03,W028,V03,2026-01-15T00:00:00Z,3,V10,yes,train
SNAP-W028-V04,W028,V04,2026-01-22T00:00:00Z,4,V10,yes,train
SNAP-W028-V05,W028,V05,2026-01-29T00:00:00Z,5,V10,yes,train
SNAP-W028-V06,W028,V06,2026-02-05T00:00:00Z,6,V10,yes,train
SNAP-W028-V07,W028,V07,2026-02-12T00:00:00Z,7,V10,yes,train
SNAP-W028-V08,W028,V08,2026-02-19T00:00:00Z,8,V10,yes,train
SNAP-W028-V09,W028,V09,2026-02-26T00:00:00Z,9,V10,yes,train
SNAP-W029-V01,W029,V01,2026-01-01T00:00:00Z,1,V10,yes,train
SNAP-W029-V02,W029,V02,2026-01-08T00:00:00Z,2,V10,yes,train
SNAP-W029-V03,W029,V03,2026-01-15T00:00:00Z,3,V10,yes,train
SNAP-W029-V04,W029,V04,2026-01-22T00:00:00Z,4,V10,yes,train
SNAP-W029-V05,W029,V05,2026-01-29T00:00:00Z,5,V10,yes,train
SNAP-W029-V06,W029,V06,2026-02-05T00:00:00Z,6,V10,yes,train
SNAP-W029-V07,W029,V07,2026-02-12T00:00:00Z,7,V10,yes,train
SNAP-W029-V08,W029,V08,2026-02-19T00:00:00Z,8,V10,yes,train
SNAP-W029-V09,W029,V09,2026-02-26T00:00:00Z,9,V10,yes,train
SNAP-W030-V01,W030,V01,2026-01-01T00:00:00Z,1,V10,yes,train
SNAP-W030-V02,W030,V02,2026-01-08T00:00:00Z,2,V10,yes,train
SNAP-W030-V03,W030,V03,2026-01-15T00:00:00Z,3,V10,yes,train
SNAP-W030-V04,W030,V04,2026-01-22T00:00:00Z,4,V10,yes,train
SNAP-W030-V05,W030,V05,2026-01-29T00:00:00Z,5,V10,yes,train
SNAP-W030-V06,W030,V06,2026-02-05T00:00:00Z,6,V10,yes,train
SNAP-W030-V07,W030,V07,2026-02-12T00:00:00Z,7,V10,yes,train
SNAP-W030-V08,W030,V08,2026-02-19T00:00:00Z,8,V10,yes,train
SNAP-W030-V09,W030,V09,2026-02-26T00:00:00Z,9,V10,yes,train
SNAP-W031-V01,W031,V01,2026-01-01T00:00:00Z,1,V10,yes,train
SNAP-W031-V02,W031,V02,2026-01-08T00:00:00Z,2,V10,yes,train
SNAP-W031-V03,W031,V03,2026-01-15T00:00:00Z,3,V10,yes,train
SNAP-W031-V04,W031,V04,2026-01-22T00:00:00Z,4,V10,yes,train
SNAP-W031-V05,W031,V05,2026-01-29T00:00:00Z,5,V10,yes,train
SNAP-W031-V06,W031,V06,2026-02-05T00:00:00Z,6,V10,yes,train
SNAP-W031-V07,W031,V07,2026-02-12T00:00:00Z,7,V10,yes,train
SNAP-W031-V08,W031,V08,2026-02-19T00:00:00Z,8,V10,yes,train
SNAP-W031-V09,W031,V09,2026-02-26T00:00:00Z,9,V10,yes,train
SNAP-W032-V01,W032,V01,2026-01-01T00:00:00Z,1,V10,yes,train
SNAP-W032-V02,W032,V02,2026-01-08T00:00:00Z,2,V10,yes,train
SNAP-W032-V03,W032,V03,2026-01-15T00:00:00Z,3,V10,yes,train
SNAP-W032-V04,W032,V04,2026-01-22T00:00:00Z,4,V10,yes,train
SNAP-W032-V05,W032,V05,2026-01-29T00:00:00Z,5,V10,yes,train
SNAP-W032-V06,W032,V06,2026-02-05T00:00:00Z,6,V10,yes,train
SNAP-W032-V07,W032,V07,2026-02-12T00:00:00Z,7,V10,yes,train
SNAP-W032-V08,W032,V08,2026-02-19T00:00:00Z,8,V10,yes,train
SNAP-W032-V09,W032,V09,2026-02-26T00:00:00Z,9,V10,yes,train
SNAP-W033-V01,W033,V01,2026-01-01T00:00:00Z,1,V10,yes,train
SNAP-W033-V02,W033,V02,2026-01-08T00:00:00Z,2,V10,yes,train
SNAP-W033-V03,W033,V03,2026-01-15T00:00:00Z,3,V10,yes,train
SNAP-W033-V04,W033,V04,2026-01-22T00:00:00Z,4,V10,yes,train
SNAP-W033-V05,W033,V05,2026-01-29T00:00:00Z,5,V10,yes,train
SNAP-W033-V06,W033,V06,2026-02-05T00:00:00Z,6,V10,yes,train
SNAP-W033-V07,W033,V07,2026-02-12T00:00:00Z,7,V10,yes,train
SNAP-W033-V08,W033,V08,2026-02-19T00:00:00Z,8,V10,yes,train
SNAP-W033-V09,W033,V09,2026-02-26T00:00:00Z,9,V10,yes,train
SNAP-W034-V01,W034,V01,2026-01-01T00:00:00Z,1,V10,yes,train
SNAP-W034-V02,W034,V02,2026-01-08T00:00:00Z,2,V10,yes,train
SNAP-W034-V03,W034,V03,2026-01-15T00:00:00Z,3,V10,yes,train
SNAP-W034-V04,W034,V04,2026-01-22T00:00:00Z,4,V10,yes,train
SNAP-W034-V05,W034,V05,2026-01-29T00:00:00Z,5,V10,yes,train
SNAP-W034-V06,W034,V06,2026-02-05T00:00:00Z,6,V10,yes,train
SNAP-W034-V07,W034,V07,2026-02-12T00:00:00Z,7,V10,yes,train
SNAP-W034-V08,W034,V08,2026-02-19T00:00:00Z,8,V10,yes,train
SNAP-W034-V09,W034,V09,2026-02-26T00:00:00Z,9,V10,yes,train
SNAP-W035-V01,W035,V01,2026-01-01T00:00:00Z,1,V10,yes,train
SNAP-W035-V02,W035,V02,2026-01-08T00:00:00Z,2,V10,yes,train
SNAP-W035-V03,W035,V03,2026-01-15T00:00:00Z,3,V10,yes,train
SNAP-W035-V04,W035,V04,2026-01-22T00:00:00Z,4,V10,yes,train
SNAP-W035-V05,W035,V05,2026-01-29T00:00:00Z,5,V10,yes,train
SNAP-W035-V06,W035,V06,2026-02-05T00:00:00Z,6,V10,yes,train
SNAP-W035-V07,W035,V07,2026-02-12T00:00:00Z,7,V10,yes,train
SNAP-W035-V08,W035,V08,2026-02-19T00:00:00Z,8,V10,yes,train
SNAP-W035-V09,W035,V09,2026-02-26T00:00:00Z,9,V10,yes,train
SNAP-W036-V01,W036,V01,2026-01-01T00:00:00Z,1,V10,yes,train
SNAP-W036-V02,W036,V02,2026-01-08T00:00:00Z,2,V10,yes,train
SNAP-W036-V03,W036,V03,2026-01-15T00:00:00Z,3,V10,yes,train
SNAP-W036-V04,W036,V04,2026-01-22T00:00:00Z,4,V10,yes,train
SNAP-W036-V05,W036,V05,2026-01-29T00:00:00Z,5,V10,yes,train
SNAP-W036-V06,W036,V06,2026-02-05T00:00:00Z,6,V10,yes,train
SNAP-W036-V07,W036,V07,2026-02-12T00:00:00Z,7,V10,yes,train
SNAP-W036-V08,W036,V08,2026-02-19T00:00:00Z,8,V10,yes,train
SNAP-W036-V09,W036,V09,2026-02-26T00:00:00Z,9,V10,yes,train
SNAP-W037-V01,W037,V01,2026-01-01T00:00:00Z,1,V10,yes,train
SNAP-W037-V02,W037,V02,2026-01-08T00:00:00Z,2,V10,yes,train
SNAP-W037-V03,W037,V03,2026-01-15T00:00:00Z,3,V10,yes,train
SNAP-W037-V04,W037,V04,2026-01-22T00:00:00Z,4,V10,yes,train
SNAP-W037-V05,W037,V05,2026-01-29T00:00:00Z,5,V10,yes,train
SNAP-W037-V06,W037,V06,2026-02-05T00:00:00Z,6,V10,yes,train
