replacement_id,stale_test_id,website_id,page_id,snapshot_version,required_version,snapshot_chunk_ids,required_chunk_ids,chunk_replacement_plan_json,any_embedding_update_required,selective_replace_instruction,split
REP-ST0002-P01,ST0002,W002,P01,V03,V05,"W002_V03_P01_C1,W002_V03_P01_C2","W002_V05_P01_C1,W002_V05_P01_C2","[{""from_chunk_id"": ""W002_V03_P01_C1"", ""to_chunk_id"": ""W002_V05_P01_C1"", ""embedding_update_required"": ""yes""}, {""from_chunk_id"": ""W002_V03_P01_C2"", ""to_chunk_id"": ""W002_V05_P01_C2"", ""embedding_update_required"": ""yes""}]",yes,"Replace embeddings of W002_V03_P01_C1,W002_V03_P01_C2 with embeddings of W002_V05_P01_C1,W002_V05_P01_C2 for W002 P01 V03->V05.",train
REP-ST0002-P02,ST0002,W002,P02,V03,V05,"W002_V03_P02_C1,W002_V03_P02_C2","W002_V05_P02_C1,W002_V05_P02_C2","[{""from_chunk_id"": ""W002_V03_P02_C1"", ""to_chunk_id"": ""W002_V05_P02_C1"", ""embedding_update_required"": ""yes""}, {""from_chunk_id"": ""W002_V03_P02_C2"", ""to_chunk_id"": ""W002_V05_P02_C2"", ""embedding_update_required"": ""yes""}]",yes,"Replace embeddings of W002_V03_P02_C1,W002_V03_P02_C2 with embeddings of W002_V05_P02_C1,W002_V05_P02_C2 for W002 P02 V03->V05.",train
REP-ST0002-P03,ST0002,W002,P03,V03,V05,"W002_V03_P03_C1,W002_V03_P03_C2","W002_V05_P03_C1,W002_V05_P03_C2","[{""from_chunk_id"": ""W002_V03_P03_C1"", ""to_chunk_id"": ""W002_V05_P03_C1"", ""embedding_update_required"": ""yes""}, {""from_chunk_id"": ""W002_V03_P03_C2"", ""to_chunk_id"": ""W002_V05_P03_C2"", ""embedding_update_required"": ""yes""}]",yes,"Replace embeddings of W002_V03_P03_C1,W002_V03_P03_C2 with embeddings of W002_V05_P03_C1,W002_V05_P03_C2 for W002 P03 V03->V05.",train
REP-ST0002-P04,ST0002,W002,P04,V03,V05,"W002_V03_P04_C1,W002_V03_P04_C2","W002_V05_P04_C1,W002_V05_P04_C2","[{""from_chunk_id"": ""W002_V03_P04_C1"", ""to_chunk_id"": ""W002_V05_P04_C1"", ""embedding_update_required"": ""yes""}, {""from_chunk_id"": ""W002_V03_P04_C2"", ""to_chunk_id"": ""W002_V05_P04_C2"", ""embedding_update_required"": ""yes""}]",yes,"Replace embeddings of W002_V03_P04_C1,W002_V03_P04_C2 with embeddings of W002_V05_P04_C1,W002_V05_P04_C2 for W002 P04 V03->V05.",train
REP-ST0002-P05,ST0002,W002,P05,V03,V05,"W002_V03_P05_C1,W002_V03_P05_C2","W002_V05_P05_C1,W002_V05_P05_C2","[{""from_chunk_id"": ""W002_V03_P05_C1"", ""to_chunk_id"": ""W002_V05_P05_C1"", ""embedding_update_required"": ""yes""}, {""from_chunk_id"": ""W002_V03_P05_C2"", ""to_chunk_id"": ""W002_V05_P05_C2"", ""embedding_update_required"": ""yes""}]",yes,"Replace embeddings of W002_V03_P05_C1,W002_V03_P05_C2 with embeddings of W002_V05_P05_C1,W002_V05_P05_C2 for W002 P05 V03->V05.",train
REP-ST0002-P06,ST0002,W002,P06,V03,V05,"W002_V03_P06_C1,W002_V03_P06_C2","W002_V05_P06_C1,W002_V05_P06_C2","[{""from_chunk_id"": ""W002_V03_P06_C1"", ""to_chunk_id"": ""W002_V05_P06_C1"", ""embedding_update_required"": ""yes""}, {""from_chunk_id"": ""W002_V03_P06_C2"", ""to_chunk_id"": ""W002_V05_P06_C2"", ""embedding_update_required"": ""yes""}]",yes,"Replace embeddings of W002_V03_P06_C1,W002_V03_P06_C2 with embeddings of W002_V05_P06_C1,W002_V05_P06_C2 for W002 P06 V03->V05.",train
REP-ST0002-P07,ST0002,W002,P07,V03,V05,"W002_V03_P07_C1,W002_V03_P07_C2","W002_V05_P07_C1,W002_V05_P07_C2","[{""from_chunk_id"": ""W002_V03_P07_C1"", ""to_chunk_id"": ""W002_V05_P07_C1"", ""embedding_update_required"": ""yes""}, {""from_chunk_id"": ""W002_V03_P07_C2"", ""to_chunk_id"": ""W002_V05_P07_C2"", ""embedding_update_required"": ""yes""}]",yes,"Replace embeddings of W002_V03_P07_C1,W002_V03_P07_C2 with embeddings of W002_V05_P07_C1,W002_V05_P07_C2 for W002 P07 V03->V05.",train
REP-ST0002-P08,ST0002,W002,P08,V03,V05,"W002_V03_P08_C1,W002_V03_P08_C2","W002_V05_P08_C1,W002_V05_P08_C2","[{""from_chunk_id"": ""W002_V03_P08_C1"", ""to_chunk_id"": ""W002_V05_P08_C1"", ""embedding_update_required"": ""yes""}, {""from_chunk_id"": ""W002_V03_P08_C2"", ""to_chunk_id"": ""W002_V05_P08_C2"", ""embedding_update_required"": ""yes""}]",yes,"Replace embeddings of W002_V03_P08_C1,W002_V03_P08_C2 with embeddings of W002_V05_P08_C1,W002_V05_P08_C2 for W002 P08 V03->V05.",train
REP-ST0002-P09,ST0002,W002,P09,V03,V05,"W002_V03_P09_C1,W002_V03_P09_C2","W002_V05_P09_C1,W002_V05_P09_C2","[{""from_chunk_id"": ""W002_V03_P09_C1"", ""to_chunk_id"": ""W002_V05_P09_C1"", ""embedding_update_required"": ""yes""}, {""from_chunk_id"": ""W002_V03_P09_C2"", ""to_chunk_id"": ""W002_V05_P09_C2"", ""embedding_update_required"": ""yes""}]",yes,"Replace embeddings of W002_V03_P09_C1,W002_V03_P09_C2 with embeddings of W002_V05_P09_C1,W002_V05_P09_C2 for W002 P09 V03->V05.",train
REP-ST0002-P10,ST0002,W002,P10,V03,V05,"W002_V03_P10_C1,W002_V03_P10_C2","W002_V05_P10_C1,W002_V05_P10_C2","[{""from_chunk_id"": ""W002_V03_P10_C1"", ""to_chunk_id"": ""W002_V05_P10_C1"", ""embedding_update_required"": ""yes""}, {""from_chunk_id"": ""W002_V03_P10_C2"", ""to_chunk_id"": ""W002_V05_P10_C2"", ""embedding_update_required"": ""yes""}]",yes,"Replace embeddings of W002_V03_P10_C1,W002_V03_P10_C2 with embeddings of W002_V05_P10_C1,W002_V05_P10_C2 for W002 P10 V03->V05.",train
REP-ST0003-P01,ST0003,W003,P01,V04,V06,"W003_V04_P01_C1,W003_V04_P01_C2","W003_V06_P01_C1,W003_V06_P01_C2","[{""from_chunk_id"": ""W003_V04_P01_C1"", ""to_chunk_id"": ""W003_V06_P01_C1"", ""embedding_update_required"": ""yes""}, {""from_chunk_id"": ""W003_V04_P01_C2"", ""to_chunk_id"": ""W003_V06_P01_C2"", ""embedding_update_required"": ""yes""}]",yes,"Replace embeddings of W003_V04_P01_C1,W003_V04_P01_C2 with embeddings of W003_V06_P01_C1,W003_V06_P01_C2 for W003 P01 V04->V06.",train
REP-ST0003-P02,ST0003,W003,P02,V04,V06,"W003_V04_P02_C1,W003_V04_P02_C2","W003_V06_P02_C1,W003_V06_P02_C2","[{""from_chunk_id"": ""W003_V04_P02_C1"", ""to_chunk_id"": ""W003_V06_P02_C1"", ""embedding_update_required"": ""yes""}, {""from_chunk_id"": ""W003_V04_P02_C2"", ""to_chunk_id"": ""W003_V06_P02_C2"", ""embedding_update_required"": ""yes""}]",yes,"Replace embeddings of W003_V04_P02_C1,W003_V04_P02_C2 with embeddings of W003_V06_P02_C1,W003_V06_P02_C2 for W003 P02 V04->V06.",train
REP-ST0003-P03,ST0003,W003,P03,V04,V06,"W003_V04_P03_C1,W003_V04_P03_C2","W003_V06_P03_C1,W003_V06_P03_C2","[{""from_chunk_id"": ""W003_V04_P03_C1"", ""to_chunk_id"": ""W003_V06_P03_C1"", ""embedding_update_required"": ""yes""}, {""from_chunk_id"": ""W003_V04_P03_C2"", ""to_chunk_id"": ""W003_V06_P03_C2"", ""embedding_update_required"": ""yes""}]",yes,"Replace embeddings of W003_V04_P03_C1,W003_V04_P03_C2 with embeddings of W003_V06_P03_C1,W003_V06_P03_C2 for W003 P03 V04->V06.",train
REP-ST0003-P04,ST0003,W003,P04,V04,V06,"W003_V04_P04_C1,W003_V04_P04_C2","W003_V06_P04_C1,W003_V06_P04_C2","[{""from_chunk_id"": ""W003_V04_P04_C1"", ""to_chunk_id"": ""W003_V06_P04_C1"", ""embedding_update_required"": ""yes""}, {""from_chunk_id"": ""W003_V04_P04_C2"", ""to_chunk_id"": ""W003_V06_P04_C2"", ""embedding_update_required"": ""yes""}]",yes,"Replace embeddings of W003_V04_P04_C1,W003_V04_P04_C2 with embeddings of W003_V06_P04_C1,W003_V06_P04_C2 for W003 P04 V04->V06.",train
REP-ST0003-P05,ST0003,W003,P05,V04,V06,"W003_V04_P05_C1,W003_V04_P05_C2","W003_V06_P05_C1,W003_V06_P05_C2","[{""from_chunk_id"": ""W003_V04_P05_C1"", ""to_chunk_id"": ""W003_V06_P05_C1"", ""embedding_update_required"": ""yes""}, {""from_chunk_id"": ""W003_V04_P05_C2"", ""to_chunk_id"": ""W003_V06_P05_C2"", ""embedding_update_required"": ""yes""}]",yes,"Replace embeddings of W003_V04_P05_C1,W003_V04_P05_C2 with embeddings of W003_V06_P05_C1,W003_V06_P05_C2 for W003 P05 V04->V06.",train
REP-ST0003-P06,ST0003,W003,P06,V04,V06,"W003_V04_P06_C1,W003_V04_P06_C2","W003_V06_P06_C1,W003_V06_P06_C2","[{""from_chunk_id"": ""W003_V04_P06_C1"", ""to_chunk_id"": ""W003_V06_P06_C1"", ""embedding_update_required"": ""yes""}, {""from_chunk_id"": ""W003_V04_P06_C2"", ""to_chunk_id"": ""W003_V06_P06_C2"", ""embedding_update_required"": ""yes""}]",yes,"Replace embeddings of W003_V04_P06_C1,W003_V04_P06_C2 with embeddings of W003_V06_P06_C1,W003_V06_P06_C2 for W003 P06 V04->V06.",train
REP-ST0003-P07,ST0003,W003,P07,V04,V06,"W003_V04_P07_C1,W003_V04_P07_C2","W003_V06_P07_C1,W003_V06_P07_C2","[{""from_chunk_id"": ""W003_V04_P07_C1"", ""to_chunk_id"": ""W003_V06_P07_C1"", ""embedding_update_required"": ""yes""}, {""from_chunk_id"": ""W003_V04_P07_C2"", ""to_chunk_id"": ""W003_V06_P07_C2"", ""embedding_update_required"": ""yes""}]",yes,"Replace embeddings of W003_V04_P07_C1,W003_V04_P07_C2 with embeddings of W003_V06_P07_C1,W003_V06_P07_C2 for W003 P07 V04->V06.",train
REP-ST0003-P08,ST0003,W003,P08,V04,V06,"W003_V04_P08_C1,W003_V04_P08_C2","W003_V06_P08_C1,W003_V06_P08_C2","[{""from_chunk_id"": ""W003_V04_P08_C1"", ""to_chunk_id"": ""W003_V06_P08_C1"", ""embedding_update_required"": ""yes""}, {""from_chunk_id"": ""W003_V04_P08_C2"", ""to_chunk_id"": ""W003_V06_P08_C2"", ""embedding_update_required"": ""yes""}]",yes,"Replace embeddings of W003_V04_P08_C1,W003_V04_P08_C2 with embeddings of W003_V06_P08_C1,W003_V06_P08_C2 for W003 P08 V04->V06.",train
REP-ST0003-P09,ST0003,W003,P09,V04,V06,"W003_V04_P09_C1,W003_V04_P09_C2","W003_V06_P09_C1,W003_V06_P09_C2","[{""from_chunk_id"": ""W003_V04_P09_C1"", ""to_chunk_id"": ""W003_V06_P09_C1"", ""embedding_update_required"": ""yes""}, {""from_chunk_id"": ""W003_V04_P09_C2"", ""to_chunk_id"": ""W003_V06_P09_C2"", ""embedding_update_required"": ""yes""}]",yes,"Replace embeddings of W003_V04_P09_C1,W003_V04_P09_C2 with embeddings of W003_V06_P09_C1,W003_V06_P09_C2 for W003 P09 V04->V06.",train
REP-ST0003-P10,ST0003,W003,P10,V04,V06,"W003_V04_P10_C1,W003_V04_P10_C2","W003_V06_P10_C1,W003_V06_P10_C2","[{""from_chunk_id"": ""W003_V04_P10_C1"", ""to_chunk_id"": ""W003_V06_P10_C1"", ""embedding_update_required"": ""yes""}, {""from_chunk_id"": ""W003_V04_P10_C2"", ""to_chunk_id"": ""W003_V06_P10_C2"", ""embedding_update_required"": ""yes""}]",yes,"Replace embeddings of W003_V04_P10_C1,W003_V04_P10_C2 with embeddings of W003_V06_P10_C1,W003_V06_P10_C2 for W003 P10 V04->V06.",train
REP-ST0004-P01,ST0004,W004,P01,V05,V07,"W004_V05_P01_C1,W004_V05_P01_C2","W004_V07_P01_C1,W004_V07_P01_C2","[{""from_chunk_id"": ""W004_V05_P01_C1"", ""to_chunk_id"": ""W004_V07_P01_C1"", ""embedding_update_required"": ""yes""}, {""from_chunk_id"": ""W004_V05_P01_C2"", ""to_chunk_id"": ""W004_V07_P01_C2"", ""embedding_update_required"": ""yes""}]",yes,"Replace embeddings of W004_V05_P01_C1,W004_V05_P01_C2 with embeddings of W004_V07_P01_C1,W004_V07_P01_C2 for W004 P01 V05->V07.",train
REP-ST0004-P02,ST0004,W004,P02,V05,V07,"W004_V05_P02_C1,W004_V05_P02_C2","W004_V07_P02_C1,W004_V07_P02_C2","[{""from_chunk_id"": ""W004_V05_P02_C1"", ""to_chunk_id"": ""W004_V07_P02_C1"", ""embedding_update_required"": ""yes""}, {""from_chunk_id"": ""W004_V05_P02_C2"", ""to_chunk_id"": ""W004_V07_P02_C2"", ""embedding_update_required"": ""yes""}]",yes,"Replace embeddings of W004_V05_P02_C1,W004_V05_P02_C2 with embeddings of W004_V07_P02_C1,W004_V07_P02_C2 for W004 P02 V05->V07.",train
REP-ST0004-P03,ST0004,W004,P03,V05,V07,"W004_V05_P03_C1,W004_V05_P03_C2","W004_V07_P03_C1,W004_V07_P03_C2","[{""from_chunk_id"": ""W004_V05_P03_C1"", ""to_chunk_id"": ""W004_V07_P03_C1"", ""embedding_update_required"": ""yes""}, {""from_chunk_id"": ""W004_V05_P03_C2"", ""to_chunk_id"": ""W004_V07_P03_C2"", ""embedding_update_required"": ""yes""}]",yes,"Replace embeddings of W004_V05_P03_C1,W004_V05_P03_C2 with embeddings of W004_V07_P03_C1,W004_V07_P03_C2 for W004 P03 V05->V07.",train
REP-ST0004-P04,ST0004,W004,P04,V05,V07,"W004_V05_P04_C1,W004_V05_P04_C2","W004_V07_P04_C1,W004_V07_P04_C2","[{""from_chunk_id"": ""W004_V05_P04_C1"", ""to_chunk_id"": ""W004_V07_P04_C1"", ""embedding_update_required"": ""yes""}, {""from_chunk_id"": ""W004_V05_P04_C2"", ""to_chunk_id"": ""W004_V07_P04_C2"", ""embedding_update_required"": ""yes""}]",yes,"Replace embeddings of W004_V05_P04_C1,W004_V05_P04_C2 with embeddings of W004_V07_P04_C1,W004_V07_P04_C2 for W004 P04 V05->V07.",train
REP-ST0004-P05,ST0004,W004,P05,V05,V07,"W004_V05_P05_C1,W004_V05_P05_C2","W004_V07_P05_C1,W004_V07_P05_C2","[{""from_chunk_id"": ""W004_V05_P05_C1"", ""to_chunk_id"": ""W004_V07_P05_C1"", ""embedding_update_required"": ""yes""}, {""from_chunk_id"": ""W004_V05_P05_C2"", ""to_chunk_id"": ""W004_V07_P05_C2"", ""embedding_update_required"": ""yes""}]",yes,"Replace embeddings of W004_V05_P05_C1,W004_V05_P05_C2 with embeddings of W004_V07_P05_C1,W004_V07_P05_C2 for W004 P05 V05->V07.",train
REP-ST0004-P06,ST0004,W004,P06,V05,V07,"W004_V05_P06_C1,W004_V05_P06_C2","W004_V07_P06_C1,W004_V07_P06_C2","[{""from_chunk_id"": ""W004_V05_P06_C1"", ""to_chunk_id"": ""W004_V07_P06_C1"", ""embedding_update_required"": ""yes""}, {""from_chunk_id"": ""W004_V05_P06_C2"", ""to_chunk_id"": ""W004_V07_P06_C2"", ""embedding_update_required"": ""yes""}]",yes,"Replace embeddings of W004_V05_P06_C1,W004_V05_P06_C2 with embeddings of W004_V07_P06_C1,W004_V07_P06_C2 for W004 P06 V05->V07.",train
REP-ST0004-P07,ST0004,W004,P07,V05,V07,"W004_V05_P07_C1,W004_V05_P07_C2","W004_V07_P07_C1,W004_V07_P07_C2","[{""from_chunk_id"": ""W004_V05_P07_C1"", ""to_chunk_id"": ""W004_V07_P07_C1"", ""embedding_update_required"": ""yes""}, {""from_chunk_id"": ""W004_V05_P07_C2"", ""to_chunk_id"": ""W004_V07_P07_C2"", ""embedding_update_required"": ""yes""}]",yes,"Replace embeddings of W004_V05_P07_C1,W004_V05_P07_C2 with embeddings of W004_V07_P07_C1,W004_V07_P07_C2 for W004 P07 V05->V07.",train
REP-ST0004-P08,ST0004,W004,P08,V05,V07,"W004_V05_P08_C1,W004_V05_P08_C2","W004_V07_P08_C1,W004_V07_P08_C2","[{""from_chunk_id"": ""W004_V05_P08_C1"", ""to_chunk_id"": ""W004_V07_P08_C1"", ""embedding_update_required"": ""yes""}, {""from_chunk_id"": ""W004_V05_P08_C2"", ""to_chunk_id"": ""W004_V07_P08_C2"", ""embedding_update_required"": ""yes""}]",yes,"Replace embeddings of W004_V05_P08_C1,W004_V05_P08_C2 with embeddings of W004_V07_P08_C1,W004_V07_P08_C2 for W004 P08 V05->V07.",train
REP-ST0004-P09,ST0004,W004,P09,V05,V07,"W004_V05_P09_C1,W004_V05_P09_C2","W004_V07_P09_C1,W004_V07_P09_C2","[{""from_chunk_id"": ""W004_V05_P09_C1"", ""to_chunk_id"": ""W004_V07_P09_C1"", ""embedding_update_required"": ""yes""}, {""from_chunk_id"": ""W004_V05_P09_C2"", ""to_chunk_id"": ""W004_V07_P09_C2"", ""embedding_update_required"": ""yes""}]",yes,"Replace embeddings of W004_V05_P09_C1,W004_V05_P09_C2 with embeddings of W004_V07_P09_C1,W004_V07_P09_C2 for W004 P09 V05->V07.",train
REP-ST0004-P10,ST0004,W004,P10,V05,V07,"W004_V05_P10_C1,W004_V05_P10_C2","W004_V07_P10_C1,W004_V07_P10_C2","[{""from_chunk_id"": ""W004_V05_P10_C1"", ""to_chunk_id"": ""W004_V07_P10_C1"", ""embedding_update_required"": ""yes""}, {""from_chunk_id"": ""W004_V05_P10_C2"", ""to_chunk_id"": ""W004_V07_P10_C2"", ""embedding_update_required"": ""yes""}]",yes,"Replace embeddings of W004_V05_P10_C1,W004_V05_P10_C2 with embeddings of W004_V07_P10_C1,W004_V07_P10_C2 for W004 P10 V05->V07.",train
REP-ST0005-P01,ST0005,W005,P01,V06,V08,"W005_V06_P01_C1,W005_V06_P01_C2","W005_V08_P01_C1,W005_V08_P01_C2","[{""from_chunk_id"": ""W005_V06_P01_C1"", ""to_chunk_id"": ""W005_V08_P01_C1"", ""embedding_update_required"": ""yes""}, {""from_chunk_id"": ""W005_V06_P01_C2"", ""to_chunk_id"": ""W005_V08_P01_C2"", ""embedding_update_required"": ""yes""}]",yes,"Replace embeddings of W005_V06_P01_C1,W005_V06_P01_C2 with embeddings of W005_V08_P01_C1,W005_V08_P01_C2 for W005 P01 V06->V08.",train
REP-ST0005-P02,ST0005,W005,P02,V06,V08,"W005_V06_P02_C1,W005_V06_P02_C2","W005_V08_P02_C1,W005_V08_P02_C2","[{""from_chunk_id"": ""W005_V06_P02_C1"", ""to_chunk_id"": ""W005_V08_P02_C1"", ""embedding_update_required"": ""yes""}, {""from_chunk_id"": ""W005_V06_P02_C2"", ""to_chunk_id"": ""W005_V08_P02_C2"", ""embedding_update_required"": ""yes""}]",yes,"Replace embeddings of W005_V06_P02_C1,W005_V06_P02_C2 with embeddings of W005_V08_P02_C1,W005_V08_P02_C2 for W005 P02 V06->V08.",train
REP-ST0005-P03,ST0005,W005,P03,V06,V08,"W005_V06_P03_C1,W005_V06_P03_C2","W005_V08_P03_C1,W005_V08_P03_C2","[{""from_chunk_id"": ""W005_V06_P03_C1"", ""to_chunk_id"": ""W005_V08_P03_C1"", ""embedding_update_required"": ""yes""}, {""from_chunk_id"": ""W005_V06_P03_C2"", ""to_chunk_id"": ""W005_V08_P03_C2"", ""embedding_update_required"": ""yes""}]",yes,"Replace embeddings of W005_V06_P03_C1,W005_V06_P03_C2 with embeddings of W005_V08_P03_C1,W005_V08_P03_C2 for W005 P03 V06->V08.",train
REP-ST0005-P04,ST0005,W005,P04,V06,V08,"W005_V06_P04_C1,W005_V06_P04_C2","W005_V08_P04_C1,W005_V08_P04_C2","[{""from_chunk_id"": ""W005_V06_P04_C1"", ""to_chunk_id"": ""W005_V08_P04_C1"", ""embedding_update_required"": ""yes""}, {""from_chunk_id"": ""W005_V06_P04_C2"", ""to_chunk_id"": ""W005_V08_P04_C2"", ""embedding_update_required"": ""yes""}]",yes,"Replace embeddings of W005_V06_P04_C1,W005_V06_P04_C2 with embeddings of W005_V08_P04_C1,W005_V08_P04_C2 for W005 P04 V06->V08.",train
REP-ST0005-P05,ST0005,W005,P05,V06,V08,"W005_V06_P05_C1,W005_V06_P05_C2","W005_V08_P05_C1,W005_V08_P05_C2","[{""from_chunk_id"": ""W005_V06_P05_C1"", ""to_chunk_id"": ""W005_V08_P05_C1"", ""embedding_update_required"": ""yes""}, {""from_chunk_id"": ""W005_V06_P05_C2"", ""to_chunk_id"": ""W005_V08_P05_C2"", ""embedding_update_required"": ""yes""}]",yes,"Replace embeddings of W005_V06_P05_C1,W005_V06_P05_C2 with embeddings of W005_V08_P05_C1,W005_V08_P05_C2 for W005 P05 V06->V08.",train
