website_id,website_name,domain_type,region,site_code,fictional,version_count
W037,Nimbus Research Metro,research,Metro,RES-02-335,True,10
W038,Nimbus Logistics Highland,logistics,Highland,LOG-02-372,True,10
W039,Nimbus Nonprofit River,nonprofit,River,NON-02-409,True,10
W040,Nimbus Media Lakeside,media,Lakeside,MED-02-446,True,10
W041,Vertex Education North,education,North,EDU-03-483,True,10
W042,Vertex Software South,software,South,SOF-03-520,True,10
W043,Vertex Travel East,travel,East,TRA-03-557,True,10
W044,Vertex Hospitality West,hospitality,West,HOS-03-594,True,10
W045,Vertex Healthcare Central,healthcare,Central,HEA-03-631,True,10
W046,Vertex Finance Coastal,finance,Coastal,FIN-03-668,True,10
W047,Vertex Insurance Metro,insurance,Metro,INS-03-705,True,10
W048,Vertex Property Highland,property,Highland,PRO-03-742,True,10
W049,Vertex Ecommerce River,ecommerce,River,ECO-03-779,True,10
W050,Vertex Public Service Lakeside,public_service,Lakeside,PUB-03-816,True,10
W051,Vertex Events North,events,North,EVE-03-853,True,10
W052,Vertex Food South,food,South,FOO-03-890,True,10
W053,Vertex Telecom East,telecom,East,TEL-03-927,True,10
W054,Vertex Utilities West,utilities,West,UTI-03-964,True,10
W055,Vertex Automotive Central,automotive,Central,AUT-03-004,True,10
W056,Vertex Hr Coastal,hr,Coastal,HR-03-041,True,10
W057,Vertex Research Metro,research,Metro,RES-03-078,True,10
W058,Vertex Logistics Highland,logistics,Highland,LOG-03-115,True,10
W059,Vertex Nonprofit River,nonprofit,River,NON-03-152,True,10
W060,Vertex Media Lakeside,media,Lakeside,MED-03-189,True,10
W061,Cedar Education North,education,North,EDU-04-226,True,10
W062,Cedar Software South,software,South,SOF-04-263,True,10
W063,Cedar Travel East,travel,East,TRA-04-300,True,10
W064,Cedar Hospitality West,hospitality,West,HOS-04-337,True,10
W065,Cedar Healthcare Central,healthcare,Central,HEA-04-374,True,10
W066,Cedar Finance Coastal,finance,Coastal,FIN-04-411,True,10
W067,Cedar Insurance Metro,insurance,Metro,INS-04-448,True,10
W068,Cedar Property Highland,property,Highland,PRO-04-485,True,10
W069,Cedar Ecommerce River,ecommerce,River,ECO-04-522,True,10
W070,Cedar Public Service Lakeside,public_service,Lakeside,PUB-04-559,True,10
W071,Cedar Events North,events,North,EVE-04-596,True,10
W072,Cedar Food South,food,South,FOO-04-633,True,10
W073,Cedar Telecom East,telecom,East,TEL-04-670,True,10
W074,Cedar Utilities West,utilities,West,UTI-04-707,True,10
W075,Cedar Automotive Central,automotive,Central,AUT-04-744,True,10
W076,Cedar Hr Coastal,hr,Coastal,HR-04-781,True,10
W077,Cedar Research Metro,research,Metro,RES-04-818,True,10
W078,Cedar Logistics Highland,logistics,Highland,LOG-04-855,True,10
W079,Cedar Nonprofit River,nonprofit,River,NON-04-892,True,10
W080,Cedar Media Lakeside,media,Lakeside,MED-04-929,True,10
W081,Solstice Education North,education,North,EDU-05-966,True,10
W082,Solstice Software South,software,South,SOF-05-006,True,10
W083,Solstice Travel East,travel,East,TRA-05-043,True,10
W084,Solstice Hospitality West,hospitality,West,HOS-05-080,True,10
W085,Solstice Healthcare Central,healthcare,Central,HEA-05-117,True,10
W086,Solstice Finance Coastal,finance,Coastal,FIN-05-154,True,10
W087,Solstice Insurance Metro,insurance,Metro,INS-05-191,True,10
W088,Solstice Property Highland,property,Highland,PRO-05-228,True,10
W089,Solstice Ecommerce River,ecommerce,River,ECO-05-265,True,10
W090,Solstice Public Service Lakeside,public_service,Lakeside,PUB-05-302,True,10
W091,Solstice Events North,events,North,EVE-05-339,True,10
W092,Solstice Food South,food,South,FOO-05-376,True,10
W093,Solstice Telecom East,telecom,East,TEL-05-413,True,10
W094,Solstice Utilities West,utilities,West,UTI-05-450,True,10
W095,Solstice Automotive Central,automotive,Central,AUT-05-487,True,10
W096,Solstice Hr Coastal,hr,Coastal,HR-05-524,True,10
W097,Solstice Research Metro,research,Metro,RES-05-561,True,10
W098,Solstice Logistics Highland,logistics,Highland,LOG-05-598,True,10
W099,Solstice Nonprofit River,nonprofit,River,NON-05-635,True,10
W100,Solstice Media Lakeside,media,Lakeside,MED-05-672,True,10
W101,Harbor Education North,education,North,EDU-06-709,True,10
W102,Harbor Software South,software,South,SOF-06-746,True,10
W103,Harbor Travel East,travel,East,TRA-06-783,True,10
W104,Harbor Hospitality West,hospitality,West,HOS-06-820,True,10
W105,Harbor Healthcare Central,healthcare,Central,HEA-06-857,True,10
W106,Harbor Finance Coastal,finance,Coastal,FIN-06-894,True,10
W107,Harbor Insurance Metro,insurance,Metro,INS-06-931,True,10
W108,Harbor Property Highland,property,Highland,PRO-06-968,True,10
W109,Harbor Ecommerce River,ecommerce,River,ECO-06-008,True,10
W110,Harbor Public Service Lakeside,public_service,Lakeside,PUB-06-045,True,10
W111,Harbor Events North,events,North,EVE-06-082,True,10
W112,Harbor Food South,food,South,FOO-06-119,True,10
W113,Harbor Telecom East,telecom,East,TEL-06-156,True,10
W114,Harbor Utilities West,utilities,West,UTI-06-193,True,10
W115,Harbor Automotive Central,automotive,Central,AUT-06-230,True,10
W116,Harbor Hr Coastal,hr,Coastal,HR-06-267,True,10
W117,Harbor Research Metro,research,Metro,RES-06-304,True,10
W118,Harbor Logistics Highland,logistics,Highland,LOG-06-341,True,10
W119,Harbor Nonprofit River,nonprofit,River,NON-06-378,True,10
W120,Harbor Media Lakeside,media,Lakeside,MED-06-415,True,10
W121,Pioneer Education North,education,North,EDU-07-452,True,10
W122,Pioneer Software South,software,South,SOF-07-489,True,10
W123,Pioneer Travel East,travel,East,TRA-07-526,True,10
W124,Pioneer Hospitality West,hospitality,West,HOS-07-563,True,10
W125,Pioneer Healthcare Central,healthcare,Central,HEA-07-600,True,10
W126,Pioneer Finance Coastal,finance,Coastal,FIN-07-637,True,10
W127,Pioneer Insurance Metro,insurance,Metro,INS-07-674,True,10
W128,Pioneer Property Highland,property,Highland,PRO-07-711,True,10
W129,Pioneer Ecommerce River,ecommerce,River,ECO-07-748,True,10
W130,Pioneer Public Service Lakeside,public_service,Lakeside,PUB-07-785,True,10
W131,Pioneer Events North,events,North,EVE-07-822,True,10
W132,Pioneer Food South,food,South,FOO-07-859,True,10
W133,Pioneer Telecom East,telecom,East,TEL-07-896,True,10
W134,Pioneer Utilities West,utilities,West,UTI-07-933,True,10
W135,Pioneer Automotive Central,automotive,Central,AUT-07-970,True,10
W136,Pioneer Hr Coastal,hr,Coastal,HR-07-010,True,10
W137,Pioneer Research Metro,research,Metro,RES-07-047,True,10
W138,Pioneer Logistics Highland,logistics,Highland,LOG-07-084,True,10
W139,Pioneer Nonprofit River,nonprofit,River,NON-07-121,True,10
W140,Pioneer Media Lakeside,media,Lakeside,MED-07-158,True,10
W141,Lumen Education North,education,North,EDU-08-195,True,10
W142,Lumen Software South,software,South,SOF-08-232,True,10
W143,Lumen Travel East,travel,East,TRA-08-269,True,10
W144,Lumen Hospitality West,hospitality,West,HOS-08-306,True,10
W145,Lumen Healthcare Central,healthcare,Central,HEA-08-343,True,10
W146,Lumen Finance Coastal,finance,Coastal,FIN-08-380,True,10
W147,Lumen Insurance Metro,insurance,Metro,INS-08-417,True,10
W148,Lumen Property Highland,property,Highland,PRO-08-454,True,10
W149,Lumen Ecommerce River,ecommerce,River,ECO-08-491,True,10
W150,Lumen Public Service Lakeside,public_service,Lakeside,PUB-08-528,True,10
W151,Lumen Events North,events,North,EVE-08-565,True,10
W152,Lumen Food South,food,South,FOO-08-602,True,10
W153,Lumen Telecom East,telecom,East,TEL-08-639,True,10
W154,Lumen Utilities West,utilities,West,UTI-08-676,True,10
W155,Lumen Automotive Central,automotive,Central,AUT-08-713,True,10
W156,Lumen Hr Coastal,hr,Coastal,HR-08-750,True,10
W157,Lumen Research Metro,research,Metro,RES-08-787,True,10
W158,Lumen Logistics Highland,logistics,Highland,LOG-08-824,True,10
W159,Lumen Nonprofit River,nonprofit,River,NON-08-861,True,10
W160,Lumen Media Lakeside,media,Lakeside,MED-08-898,True,10
W161,Summit Education North,education,North,EDU-09-935,True,10
W162,Summit Software South,software,South,SOF-09-972,True,10
W163,Summit Travel East,travel,East,TRA-09-012,True,10
W164,Summit Hospitality West,hospitality,West,HOS-09-049,True,10
W165,Summit Healthcare Central,healthcare,Central,HEA-09-086,True,10
W166,Summit Finance Coastal,finance,Coastal,FIN-09-123,True,10
W167,Summit Insurance Metro,insurance,Metro,INS-09-160,True,10
W168,Summit Property Highland,property,Highland,PRO-09-197,True,10
W169,Summit Ecommerce River,ecommerce,River,ECO-09-234,True,10
W170,Summit Public Service Lakeside,public_service,Lakeside,PUB-09-271,True,10
W171,Summit Events North,events,North,EVE-09-308,True,10
W172,Summit Food South,food,South,FOO-09-345,True,10
W173,Summit Telecom East,telecom,East,TEL-09-382,True,10
W174,Summit Utilities West,utilities,West,UTI-09-419,True,10
W175,Summit Automotive Central,automotive,Central,AUT-09-456,True,10
W176,Summit Hr Coastal,hr,Coastal,HR-09-493,True,10
W177,Summit Research Metro,research,Metro,RES-09-530,True,10
W178,Summit Logistics Highland,logistics,Highland,LOG-09-567,True,10
W179,Summit Nonprofit River,nonprofit,River,NON-09-604,True,10
W180,Summit Media Lakeside,media,Lakeside,MED-09-641,True,10
W181,Aurora Education North,education,North,EDU-10-678,True,10
W182,Aurora Software South,software,South,SOF-10-715,True,10
W183,Aurora Travel East,travel,East,TRA-10-752,True,10
W184,Aurora Hospitality West,hospitality,West,HOS-10-789,True,10
W185,Aurora Healthcare Central,healthcare,Central,HEA-10-826,True,10
W186,Aurora Finance Coastal,finance,Coastal,FIN-10-863,True,10
W187,Aurora Insurance Metro,insurance,Metro,INS-10-900,True,10
W188,Aurora Property Highland,property,Highland,PRO-10-937,True,10
W189,Aurora Ecommerce River,ecommerce,River,ECO-10-974,True,10
W190,Aurora Public Service Lakeside,public_service,Lakeside,PUB-10-014,True,10
W191,Aurora Events North,events,North,EVE-10-051,True,10
W192,Aurora Food South,food,South,FOO-10-088,True,10
W193,Aurora Telecom East,telecom,East,TEL-10-125,True,10
W194,Aurora Utilities West,utilities,West,UTI-10-162,True,10
W195,Aurora Automotive Central,automotive,Central,AUT-10-199,True,10
W196,Aurora Hr Coastal,hr,Coastal,HR-10-236,True,10
W197,Aurora Research Metro,research,Metro,RES-10-273,True,10
W198,Aurora Logistics Highland,logistics,Highland,LOG-10-310,True,10
W199,Aurora Nonprofit River,nonprofit,River,NON-10-347,True,10
W200,Aurora Media Lakeside,media,Lakeside,MED-10-384,True,10
