change_id,website_id,page_id,from_version,to_version,change_type,change_scope,requires_reembedding,detection_method,pct_content_changed,min_chunk_text_similarity,embedding_affected,change_event_timestamp,change_event_timestamp_source,split
CHG000040,W001,P10,V04,V05,numeric,page,yes,hash_then_semantic_diff,93.89,0.096257,yes,2026-01-29T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000041,W001,P01,V05,V06,policy,page,yes,hash_then_semantic_diff,95.06,0.089127,yes,2026-02-05T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000042,W001,P02,V05,V06,semantic,page,yes,hash_then_semantic_diff,94.24,0.098305,yes,2026-02-05T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000043,W001,P03,V05,V06,numeric,page,yes,hash_then_semantic_diff,75.49,0.626335,yes,2026-02-05T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000044,W001,P04,V05,V06,major_semantic,page,yes,hash_then_semantic_diff,76.63,0.388521,yes,2026-02-05T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000045,W001,P05,V05,V06,reordering,page,conditional,hash_then_semantic_diff,94.4,0.09215,yes,2026-02-05T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000046,W001,P06,V05,V06,date_time,page,yes,hash_then_semantic_diff,95.0,0.091681,yes,2026-02-05T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000047,W001,P07,V05,V06,deletion,page,yes,hash_then_semantic_diff,94.19,0.167401,yes,2026-02-05T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000048,W001,P08,V05,V06,addition,page,yes,hash_then_semantic_diff,94.17,0.174497,yes,2026-02-05T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000049,W001,P09,V05,V06,requirement,page,yes,hash_then_semantic_diff,94.73,0.090909,yes,2026-02-05T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000050,W001,P10,V05,V06,policy,page,yes,hash_then_semantic_diff,54.93,0.087108,yes,2026-02-05T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000051,W001,P01,V06,V07,addition,page,yes,hash_then_semantic_diff,94.67,0.089445,yes,2026-02-12T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000052,W001,P02,V06,V07,requirement,page,yes,hash_then_semantic_diff,94.18,0.092943,yes,2026-02-12T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000053,W001,P03,V06,V07,policy,page,yes,hash_then_semantic_diff,94.09,0.088339,yes,2026-02-12T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000054,W001,P04,V06,V07,semantic,page,yes,hash_then_semantic_diff,93.99,0.10087,yes,2026-02-12T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000055,W001,P05,V06,V07,numeric,page,yes,hash_then_semantic_diff,94.58,0.092624,yes,2026-02-12T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000056,W001,P06,V06,V07,major_semantic,page,yes,hash_then_semantic_diff,94.41,0.0954,yes,2026-02-12T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000057,W001,P07,V06,V07,reordering,page,conditional,hash_then_semantic_diff,93.4,0.089965,yes,2026-02-12T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000058,W001,P08,V06,V07,date_time,page,yes,hash_then_semantic_diff,55.86,0.105079,yes,2026-02-12T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000059,W001,P09,V06,V07,deletion,page,yes,hash_then_semantic_diff,61.09,0.215247,yes,2026-02-12T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000060,W001,P10,V06,V07,addition,page,yes,hash_then_semantic_diff,92.6,0.111498,yes,2026-02-12T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000061,W001,P01,V07,V08,date_time,page,yes,hash_then_semantic_diff,95.06,0.085868,yes,2026-02-19T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000062,W001,P02,V07,V08,deletion,page,yes,hash_then_semantic_diff,75.68,0.099315,yes,2026-02-19T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000063,W001,P03,V07,V08,addition,page,yes,hash_then_semantic_diff,94.31,0.091388,yes,2026-02-19T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000064,W001,P04,V07,V08,requirement,page,yes,hash_then_semantic_diff,94.13,0.084359,yes,2026-02-19T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000065,W001,P05,V07,V08,policy,page,yes,hash_then_semantic_diff,56.15,0.091993,yes,2026-02-19T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000066,W001,P06,V07,V08,semantic,page,yes,hash_then_semantic_diff,60.85,0.197309,yes,2026-02-19T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000067,W001,P07,V07,V08,numeric,page,yes,hash_then_semantic_diff,75.32,0.390244,yes,2026-02-19T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000068,W001,P08,V07,V08,major_semantic,page,yes,hash_then_semantic_diff,77.22,0.16777,yes,2026-02-19T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000069,W001,P09,V07,V08,reordering,page,conditional,hash_then_semantic_diff,93.17,0.104167,yes,2026-02-19T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000070,W001,P10,V07,V08,date_time,page,yes,hash_then_semantic_diff,67.09,0.492239,yes,2026-02-19T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000071,W001,P01,V08,V09,major_semantic,page,yes,hash_then_semantic_diff,95.09,0.087873,yes,2026-02-26T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000072,W001,P02,V08,V09,reordering,page,conditional,hash_then_semantic_diff,94.27,0.081081,yes,2026-02-26T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000073,W001,P03,V08,V09,date_time,page,yes,hash_then_semantic_diff,61.79,0.206278,yes,2026-02-26T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000074,W001,P04,V08,V09,deletion,page,yes,hash_then_semantic_diff,93.12,0.088652,yes,2026-02-26T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000075,W001,P05,V08,V09,addition,page,yes,hash_then_semantic_diff,93.1,0.325991,yes,2026-02-26T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000076,W001,P06,V08,V09,requirement,page,yes,hash_then_semantic_diff,73.62,0.303571,yes,2026-02-26T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000077,W001,P07,V08,V09,policy,page,yes,hash_then_semantic_diff,92.96,0.112478,yes,2026-02-26T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000078,W001,P08,V08,V09,semantic,page,yes,hash_then_semantic_diff,94.54,0.094077,yes,2026-02-26T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000079,W001,P09,V08,V09,numeric,page,yes,hash_then_semantic_diff,94.91,0.094903,yes,2026-02-26T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000080,W001,P10,V08,V09,major_semantic,page,yes,hash_then_semantic_diff,94.91,0.457778,yes,2026-02-26T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000081,W001,P01,V09,V10,semantic,page,yes,hash_then_semantic_diff,82.31,0.383073,yes,2026-03-05T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000082,W001,P02,V09,V10,numeric,page,yes,hash_then_semantic_diff,76.08,0.171806,yes,2026-03-05T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000083,W001,P03,V09,V10,major_semantic,page,yes,hash_then_semantic_diff,92.7,0.102655,yes,2026-03-05T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000084,W001,P04,V09,V10,reordering,page,conditional,hash_then_semantic_diff,94.68,0.092527,yes,2026-03-05T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000085,W001,P05,V09,V10,date_time,page,yes,hash_then_semantic_diff,95.2,0.081494,yes,2026-03-05T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000086,W001,P06,V09,V10,deletion,page,yes,hash_then_semantic_diff,95.21,0.084602,yes,2026-03-05T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000087,W001,P07,V09,V10,addition,page,yes,hash_then_semantic_diff,92.61,0.543253,yes,2026-03-05T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000088,W001,P08,V09,V10,requirement,page,yes,hash_then_semantic_diff,94.67,0.095915,yes,2026-03-05T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000089,W001,P09,V09,V10,policy,page,yes,hash_then_semantic_diff,94.31,0.09894,yes,2026-03-05T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000090,W001,P10,V09,V10,semantic,page,yes,hash_then_semantic_diff,77.95,0.177778,yes,2026-03-05T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000091,W002,P01,V01,V02,policy,page,yes,hash_then_semantic_diff,75.12,0.087719,yes,2026-01-08T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000092,W002,P02,V01,V02,semantic,page,yes,hash_then_semantic_diff,59.62,0.577703,yes,2026-01-08T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000093,W002,P03,V01,V02,numeric,page,yes,hash_then_semantic_diff,47.4,0.565905,yes,2026-01-08T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000094,W002,P04,V01,V02,major_semantic,page,yes,hash_then_semantic_diff,74.73,0.089655,yes,2026-01-08T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000095,W002,P05,V01,V02,reordering,page,conditional,hash_then_semantic_diff,55.98,0.614601,yes,2026-01-08T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000096,W002,P06,V01,V02,date_time,page,yes,hash_then_semantic_diff,72.97,0.088737,yes,2026-01-08T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000097,W002,P07,V01,V02,deletion,page,yes,hash_then_semantic_diff,93.96,0.09375,yes,2026-01-08T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000098,W002,P08,V01,V02,addition,page,yes,hash_then_semantic_diff,92.08,0.099291,yes,2026-01-08T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000099,W002,P09,V01,V02,requirement,page,yes,hash_then_semantic_diff,69.73,0.08881,yes,2026-01-08T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000100,W002,P10,V01,V02,policy,page,yes,hash_then_semantic_diff,74.34,0.091873,yes,2026-01-08T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000101,W002,P01,V02,V03,addition,page,yes,hash_then_semantic_diff,74.31,0.104348,yes,2026-01-15T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000102,W002,P02,V02,V03,requirement,page,yes,hash_then_semantic_diff,60.38,0.087838,yes,2026-01-15T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000103,W002,P03,V02,V03,policy,page,yes,hash_then_semantic_diff,94.32,0.084211,yes,2026-01-15T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000104,W002,P04,V02,V03,semantic,page,yes,hash_then_semantic_diff,72.69,0.105634,yes,2026-01-15T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000105,W002,P05,V02,V03,numeric,page,yes,hash_then_semantic_diff,94.53,0.484429,yes,2026-01-15T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000106,W002,P06,V02,V03,major_semantic,page,yes,hash_then_semantic_diff,93.59,0.089194,yes,2026-01-15T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000107,W002,P07,V02,V03,reordering,page,conditional,hash_then_semantic_diff,94.71,0.088183,yes,2026-01-15T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000108,W002,P08,V02,V03,date_time,page,yes,hash_then_semantic_diff,74.95,0.088968,yes,2026-01-15T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000109,W002,P09,V02,V03,deletion,page,yes,hash_then_semantic_diff,94.48,0.119718,yes,2026-01-15T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000110,W002,P10,V02,V03,addition,page,yes,hash_then_semantic_diff,74.0,0.098765,yes,2026-01-15T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000111,W002,P01,V03,V04,date_time,page,yes,hash_then_semantic_diff,93.48,0.088183,yes,2026-01-22T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000112,W002,P02,V03,V04,deletion,page,yes,hash_then_semantic_diff,68.36,0.08489,yes,2026-01-22T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000113,W002,P03,V03,V04,addition,page,yes,hash_then_semantic_diff,73.84,0.096257,yes,2026-01-22T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000114,W002,P04,V03,V04,requirement,page,yes,hash_then_semantic_diff,74.03,0.089286,yes,2026-01-22T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000115,W002,P05,V03,V04,policy,page,yes,hash_then_semantic_diff,74.51,0.083189,yes,2026-01-22T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000116,W002,P06,V03,V04,semantic,page,yes,hash_then_semantic_diff,75.24,0.08547,yes,2026-01-22T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000117,W002,P07,V03,V04,numeric,page,yes,hash_then_semantic_diff,72.29,0.087566,yes,2026-01-22T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000118,W002,P08,V03,V04,major_semantic,page,yes,hash_then_semantic_diff,72.36,0.09507,yes,2026-01-22T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000119,W002,P09,V03,V04,reordering,page,conditional,hash_then_semantic_diff,94.09,0.102113,yes,2026-01-22T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000120,W002,P10,V03,V04,date_time,page,yes,hash_then_semantic_diff,73.97,0.084359,yes,2026-01-22T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000121,W002,P01,V04,V05,major_semantic,page,yes,hash_then_semantic_diff,58.58,0.446018,yes,2026-01-29T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000122,W002,P02,V04,V05,reordering,page,conditional,hash_then_semantic_diff,78.14,0.102916,yes,2026-01-29T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000123,W002,P03,V04,V05,date_time,page,yes,hash_then_semantic_diff,56.7,0.472272,yes,2026-01-29T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000124,W002,P04,V04,V05,deletion,page,yes,hash_then_semantic_diff,72.66,0.102473,yes,2026-01-29T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000125,W002,P05,V04,V05,addition,page,yes,hash_then_semantic_diff,94.39,0.086059,yes,2026-01-29T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000126,W002,P06,V04,V05,requirement,page,yes,hash_then_semantic_diff,74.52,0.085034,yes,2026-01-29T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000127,W002,P07,V04,V05,policy,page,yes,hash_then_semantic_diff,58.45,0.100173,yes,2026-01-29T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000128,W002,P08,V04,V05,semantic,page,yes,hash_then_semantic_diff,93.54,0.087413,yes,2026-01-29T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000129,W002,P09,V04,V05,numeric,page,yes,hash_then_semantic_diff,72.64,0.687719,yes,2026-01-29T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000130,W002,P10,V04,V05,major_semantic,page,yes,hash_then_semantic_diff,93.57,0.104348,yes,2026-01-29T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000131,W002,P01,V05,V06,semantic,page,yes,hash_then_semantic_diff,76.85,0.107143,yes,2026-02-05T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000132,W002,P02,V05,V06,numeric,page,yes,hash_then_semantic_diff,36.36,0.133562,yes,2026-02-05T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000133,W002,P03,V05,V06,major_semantic,page,yes,hash_then_semantic_diff,73.98,0.092692,yes,2026-02-05T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000134,W002,P04,V05,V06,reordering,page,conditional,hash_then_semantic_diff,79.09,0.386517,yes,2026-02-05T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000135,W002,P05,V05,V06,date_time,page,yes,hash_then_semantic_diff,28.78,0.565068,yes,2026-02-05T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000136,W002,P06,V05,V06,deletion,page,yes,hash_then_semantic_diff,56.81,0.087248,yes,2026-02-05T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000137,W002,P07,V05,V06,addition,page,yes,hash_then_semantic_diff,94.18,0.106897,yes,2026-02-05T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000138,W002,P08,V05,V06,requirement,page,yes,hash_then_semantic_diff,92.78,0.100694,yes,2026-02-05T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000139,W002,P09,V05,V06,policy,page,yes,hash_then_semantic_diff,70.73,0.103806,yes,2026-02-05T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000140,W002,P10,V05,V06,semantic,page,yes,hash_then_semantic_diff,94.15,0.101045,yes,2026-02-05T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000141,W002,P01,V06,V07,requirement,page,yes,hash_then_semantic_diff,92.66,0.107335,yes,2026-02-12T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000142,W002,P02,V06,V07,policy,page,yes,hash_then_semantic_diff,65.38,0.081772,yes,2026-02-12T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000143,W002,P03,V06,V07,semantic,page,yes,hash_then_semantic_diff,61.94,0.084956,yes,2026-02-12T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000144,W002,P04,V06,V07,numeric,page,yes,hash_then_semantic_diff,45.92,0.575439,yes,2026-02-12T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000145,W002,P05,V06,V07,major_semantic,page,yes,hash_then_semantic_diff,60.53,0.101351,yes,2026-02-12T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000146,W002,P06,V06,V07,reordering,page,conditional,hash_then_semantic_diff,61.69,0.444444,yes,2026-02-12T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000147,W002,P07,V06,V07,date_time,page,yes,hash_then_semantic_diff,94.34,0.086655,yes,2026-02-12T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000148,W002,P08,V06,V07,deletion,page,yes,hash_then_semantic_diff,74.22,0.087566,yes,2026-02-12T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000149,W002,P09,V06,V07,addition,page,yes,hash_then_semantic_diff,72.41,0.566434,yes,2026-02-12T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000150,W002,P10,V06,V07,requirement,page,yes,hash_then_semantic_diff,68.05,0.205817,yes,2026-02-12T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000151,W002,P01,V07,V08,deletion,page,yes,hash_then_semantic_diff,68.31,0.084507,yes,2026-02-19T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000152,W002,P02,V07,V08,addition,page,yes,hash_then_semantic_diff,57.51,0.087986,yes,2026-02-19T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000153,W002,P03,V07,V08,requirement,page,yes,hash_then_semantic_diff,58.86,0.547368,yes,2026-02-19T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000154,W002,P04,V07,V08,policy,page,yes,hash_then_semantic_diff,71.76,0.08377,yes,2026-02-19T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000155,W002,P05,V07,V08,semantic,page,yes,hash_then_semantic_diff,72.47,0.105802,yes,2026-02-19T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000156,W002,P06,V07,V08,numeric,page,yes,hash_then_semantic_diff,74.66,0.085324,yes,2026-02-19T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000157,W002,P07,V07,V08,major_semantic,page,yes,hash_then_semantic_diff,93.5,0.094737,yes,2026-02-19T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000158,W002,P08,V07,V08,reordering,page,conditional,hash_then_semantic_diff,74.24,0.099291,yes,2026-02-19T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000159,W002,P09,V07,V08,date_time,page,yes,hash_then_semantic_diff,57.91,0.431373,yes,2026-02-19T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000160,W002,P10,V07,V08,deletion,page,yes,hash_then_semantic_diff,93.11,0.102473,yes,2026-02-19T00:00:00Z,release date of to_version (see version_timestamps.csv),train
