website_id,page_id,from_document,to_document,change_type
W003,P06,W003_V06_P06,W003_V07_P06,date_time
W003,P07,W003_V06_P07,W003_V07_P07,deletion
W003,P08,W003_V06_P08,W003_V07_P08,addition
W003,P09,W003_V06_P09,W003_V07_P09,requirement
W003,P10,W003_V06_P10,W003_V07_P10,policy
W003,P01,W003_V07_P01,W003_V08_P01,addition
W003,P02,W003_V07_P02,W003_V08_P02,requirement
W003,P03,W003_V07_P03,W003_V08_P03,policy
W003,P04,W003_V07_P04,W003_V08_P04,semantic
W003,P05,W003_V07_P05,W003_V08_P05,numeric
W003,P06,W003_V07_P06,W003_V08_P06,major_semantic
W003,P07,W003_V07_P07,W003_V08_P07,reordering
W003,P08,W003_V07_P08,W003_V08_P08,date_time
W003,P09,W003_V07_P09,W003_V08_P09,deletion
W003,P10,W003_V07_P10,W003_V08_P10,addition
W003,P01,W003_V08_P01,W003_V09_P01,date_time
W003,P02,W003_V08_P02,W003_V09_P02,deletion
W003,P03,W003_V08_P03,W003_V09_P03,addition
W003,P04,W003_V08_P04,W003_V09_P04,requirement
W003,P05,W003_V08_P05,W003_V09_P05,policy
W003,P06,W003_V08_P06,W003_V09_P06,semantic
W003,P07,W003_V08_P07,W003_V09_P07,numeric
W003,P08,W003_V08_P08,W003_V09_P08,major_semantic
W003,P09,W003_V08_P09,W003_V09_P09,reordering
W003,P10,W003_V08_P10,W003_V09_P10,date_time
W003,P01,W003_V09_P01,W003_V10_P01,major_semantic
W003,P02,W003_V09_P02,W003_V10_P02,reordering
W003,P03,W003_V09_P03,W003_V10_P03,date_time
W003,P04,W003_V09_P04,W003_V10_P04,deletion
W003,P05,W003_V09_P05,W003_V10_P05,addition
W003,P06,W003_V09_P06,W003_V10_P06,requirement
W003,P07,W003_V09_P07,W003_V10_P07,policy
W003,P08,W003_V09_P08,W003_V10_P08,semantic
W003,P09,W003_V09_P09,W003_V10_P09,numeric
W003,P10,W003_V09_P10,W003_V10_P10,major_semantic
W004,P01,W004_V01_P01,W004_V02_P01,numeric
W004,P02,W004_V01_P02,W004_V02_P02,major_semantic
W004,P03,W004_V01_P03,W004_V02_P03,reordering
W004,P04,W004_V01_P04,W004_V02_P04,date_time
W004,P05,W004_V01_P05,W004_V02_P05,deletion
W004,P06,W004_V01_P06,W004_V02_P06,addition
W004,P07,W004_V01_P07,W004_V02_P07,requirement
W004,P08,W004_V01_P08,W004_V02_P08,policy
W004,P09,W004_V01_P09,W004_V02_P09,semantic
W004,P10,W004_V01_P10,W004_V02_P10,numeric
W004,P01,W004_V02_P01,W004_V03_P01,policy
W004,P02,W004_V02_P02,W004_V03_P02,semantic
W004,P03,W004_V02_P03,W004_V03_P03,numeric
W004,P04,W004_V02_P04,W004_V03_P04,major_semantic
W004,P05,W004_V02_P05,W004_V03_P05,reordering
W004,P06,W004_V02_P06,W004_V03_P06,date_time
W004,P07,W004_V02_P07,W004_V03_P07,deletion
W004,P08,W004_V02_P08,W004_V03_P08,addition
W004,P09,W004_V02_P09,W004_V03_P09,requirement
W004,P10,W004_V02_P10,W004_V03_P10,policy
W004,P01,W004_V03_P01,W004_V04_P01,addition
W004,P02,W004_V03_P02,W004_V04_P02,requirement
W004,P03,W004_V03_P03,W004_V04_P03,policy
W004,P04,W004_V03_P04,W004_V04_P04,semantic
W004,P05,W004_V03_P05,W004_V04_P05,numeric
W004,P06,W004_V03_P06,W004_V04_P06,major_semantic
W004,P07,W004_V03_P07,W004_V04_P07,reordering
W004,P08,W004_V03_P08,W004_V04_P08,date_time
W004,P09,W004_V03_P09,W004_V04_P09,deletion
W004,P10,W004_V03_P10,W004_V04_P10,addition
W004,P01,W004_V04_P01,W004_V05_P01,date_time
W004,P02,W004_V04_P02,W004_V05_P02,deletion
W004,P03,W004_V04_P03,W004_V05_P03,addition
W004,P04,W004_V04_P04,W004_V05_P04,requirement
W004,P05,W004_V04_P05,W004_V05_P05,policy
W004,P06,W004_V04_P06,W004_V05_P06,semantic
W004,P07,W004_V04_P07,W004_V05_P07,numeric
W004,P08,W004_V04_P08,W004_V05_P08,major_semantic
W004,P09,W004_V04_P09,W004_V05_P09,reordering
W004,P10,W004_V04_P10,W004_V05_P10,date_time
W004,P01,W004_V05_P01,W004_V06_P01,major_semantic
W004,P02,W004_V05_P02,W004_V06_P02,reordering
W004,P03,W004_V05_P03,W004_V06_P03,date_time
W004,P04,W004_V05_P04,W004_V06_P04,deletion
W004,P05,W004_V05_P05,W004_V06_P05,addition
W004,P06,W004_V05_P06,W004_V06_P06,requirement
W004,P07,W004_V05_P07,W004_V06_P07,policy
W004,P08,W004_V05_P08,W004_V06_P08,semantic
W004,P09,W004_V05_P09,W004_V06_P09,numeric
W004,P10,W004_V05_P10,W004_V06_P10,major_semantic
W004,P01,W004_V06_P01,W004_V07_P01,semantic
W004,P02,W004_V06_P02,W004_V07_P02,numeric
W004,P03,W004_V06_P03,W004_V07_P03,major_semantic
W004,P04,W004_V06_P04,W004_V07_P04,reordering
W004,P05,W004_V06_P05,W004_V07_P05,date_time
W004,P06,W004_V06_P06,W004_V07_P06,deletion
W004,P07,W004_V06_P07,W004_V07_P07,addition
W004,P08,W004_V06_P08,W004_V07_P08,requirement
W004,P09,W004_V06_P09,W004_V07_P09,policy
W004,P10,W004_V06_P10,W004_V07_P10,semantic
W004,P01,W004_V07_P01,W004_V08_P01,requirement
W004,P02,W004_V07_P02,W004_V08_P02,policy
W004,P03,W004_V07_P03,W004_V08_P03,semantic
W004,P04,W004_V07_P04,W004_V08_P04,numeric
W004,P05,W004_V07_P05,W004_V08_P05,major_semantic
W004,P06,W004_V07_P06,W004_V08_P06,reordering
W004,P07,W004_V07_P07,W004_V08_P07,date_time
W004,P08,W004_V07_P08,W004_V08_P08,deletion
W004,P09,W004_V07_P09,W004_V08_P09,addition
W004,P10,W004_V07_P10,W004_V08_P10,requirement
W004,P01,W004_V08_P01,W004_V09_P01,deletion
W004,P02,W004_V08_P02,W004_V09_P02,addition
W004,P03,W004_V08_P03,W004_V09_P03,requirement
W004,P04,W004_V08_P04,W004_V09_P04,policy
W004,P05,W004_V08_P05,W004_V09_P05,semantic
W004,P06,W004_V08_P06,W004_V09_P06,numeric
W004,P07,W004_V08_P07,W004_V09_P07,major_semantic
W004,P08,W004_V08_P08,W004_V09_P08,reordering
W004,P09,W004_V08_P09,W004_V09_P09,date_time
W004,P10,W004_V08_P10,W004_V09_P10,deletion
W004,P01,W004_V09_P01,W004_V10_P01,reordering
W004,P02,W004_V09_P02,W004_V10_P02,date_time
W004,P03,W004_V09_P03,W004_V10_P03,deletion
W004,P04,W004_V09_P04,W004_V10_P04,addition
W004,P05,W004_V09_P05,W004_V10_P05,requirement
W004,P06,W004_V09_P06,W004_V10_P06,policy
W004,P07,W004_V09_P07,W004_V10_P07,semantic
W004,P08,W004_V09_P08,W004_V10_P08,numeric
W004,P09,W004_V09_P09,W004_V10_P09,major_semantic
W004,P10,W004_V09_P10,W004_V10_P10,reordering
W005,P01,W005_V01_P01,W005_V02_P01,major_semantic
W005,P02,W005_V01_P02,W005_V02_P02,reordering
W005,P03,W005_V01_P03,W005_V02_P03,date_time
W005,P04,W005_V01_P04,W005_V02_P04,deletion
W005,P05,W005_V01_P05,W005_V02_P05,addition
W005,P06,W005_V01_P06,W005_V02_P06,requirement
W005,P07,W005_V01_P07,W005_V02_P07,policy
W005,P08,W005_V01_P08,W005_V02_P08,semantic
W005,P09,W005_V01_P09,W005_V02_P09,numeric
W005,P10,W005_V01_P10,W005_V02_P10,major_semantic
W005,P01,W005_V02_P01,W005_V03_P01,semantic
W005,P02,W005_V02_P02,W005_V03_P02,numeric
W005,P03,W005_V02_P03,W005_V03_P03,major_semantic
W005,P04,W005_V02_P04,W005_V03_P04,reordering
W005,P05,W005_V02_P05,W005_V03_P05,date_time
W005,P06,W005_V02_P06,W005_V03_P06,deletion
W005,P07,W005_V02_P07,W005_V03_P07,addition
W005,P08,W005_V02_P08,W005_V03_P08,requirement
W005,P09,W005_V02_P09,W005_V03_P09,policy
W005,P10,W005_V02_P10,W005_V03_P10,semantic
W005,P01,W005_V03_P01,W005_V04_P01,requirement
W005,P02,W005_V03_P02,W005_V04_P02,policy
W005,P03,W005_V03_P03,W005_V04_P03,semantic
W005,P04,W005_V03_P04,W005_V04_P04,numeric
W005,P05,W005_V03_P05,W005_V04_P05,major_semantic
W005,P06,W005_V03_P06,W005_V04_P06,reordering
W005,P07,W005_V03_P07,W005_V04_P07,date_time
W005,P08,W005_V03_P08,W005_V04_P08,deletion
W005,P09,W005_V03_P09,W005_V04_P09,addition
W005,P10,W005_V03_P10,W005_V04_P10,requirement
W005,P01,W005_V04_P01,W005_V05_P01,deletion
W005,P02,W005_V04_P02,W005_V05_P02,addition
W005,P03,W005_V04_P03,W005_V05_P03,requirement
W005,P04,W005_V04_P04,W005_V05_P04,policy
W005,P05,W005_V04_P05,W005_V05_P05,semantic
W005,P06,W005_V04_P06,W005_V05_P06,numeric
W005,P07,W005_V04_P07,W005_V05_P07,major_semantic
W005,P08,W005_V04_P08,W005_V05_P08,reordering
W005,P09,W005_V04_P09,W005_V05_P09,date_time
W005,P10,W005_V04_P10,W005_V05_P10,deletion
W005,P01,W005_V05_P01,W005_V06_P01,reordering
W005,P02,W005_V05_P02,W005_V06_P02,date_time
W005,P03,W005_V05_P03,W005_V06_P03,deletion
W005,P04,W005_V05_P04,W005_V06_P04,addition
W005,P05,W005_V05_P05,W005_V06_P05,requirement
W005,P06,W005_V05_P06,W005_V06_P06,policy
W005,P07,W005_V05_P07,W005_V06_P07,semantic
W005,P08,W005_V05_P08,W005_V06_P08,numeric
W005,P09,W005_V05_P09,W005_V06_P09,major_semantic
W005,P10,W005_V05_P10,W005_V06_P10,reordering
W005,P01,W005_V06_P01,W005_V07_P01,numeric
W005,P02,W005_V06_P02,W005_V07_P02,major_semantic
W005,P03,W005_V06_P03,W005_V07_P03,reordering
W005,P04,W005_V06_P04,W005_V07_P04,date_time
W005,P05,W005_V06_P05,W005_V07_P05,deletion
W005,P06,W005_V06_P06,W005_V07_P06,addition
W005,P07,W005_V06_P07,W005_V07_P07,requirement
W005,P08,W005_V06_P08,W005_V07_P08,policy
W005,P09,W005_V06_P09,W005_V07_P09,semantic
W005,P10,W005_V06_P10,W005_V07_P10,numeric
W005,P01,W005_V07_P01,W005_V08_P01,policy
W005,P02,W005_V07_P02,W005_V08_P02,semantic
W005,P03,W005_V07_P03,W005_V08_P03,numeric
W005,P04,W005_V07_P04,W005_V08_P04,major_semantic
W005,P05,W005_V07_P05,W005_V08_P05,reordering
W005,P06,W005_V07_P06,W005_V08_P06,date_time
W005,P07,W005_V07_P07,W005_V08_P07,deletion
W005,P08,W005_V07_P08,W005_V08_P08,addition
W005,P09,W005_V07_P09,W005_V08_P09,requirement
W005,P10,W005_V07_P10,W005_V08_P10,policy
W005,P01,W005_V08_P01,W005_V09_P01,addition
W005,P02,W005_V08_P02,W005_V09_P02,requirement
W005,P03,W005_V08_P03,W005_V09_P03,policy
W005,P04,W005_V08_P04,W005_V09_P04,semantic
W005,P05,W005_V08_P05,W005_V09_P05,numeric
W005,P06,W005_V08_P06,W005_V09_P06,major_semantic
W005,P07,W005_V08_P07,W005_V09_P07,reordering
W005,P08,W005_V08_P08,W005_V09_P08,date_time
W005,P09,W005_V08_P09,W005_V09_P09,deletion
W005,P10,W005_V08_P10,W005_V09_P10,addition
W005,P01,W005_V09_P01,W005_V10_P01,date_time
W005,P02,W005_V09_P02,W005_V10_P02,deletion
W005,P03,W005_V09_P03,W005_V10_P03,addition
W005,P04,W005_V09_P04,W005_V10_P04,requirement
W005,P05,W005_V09_P05,W005_V10_P05,policy
W005,P06,W005_V09_P06,W005_V10_P06,semantic
W005,P07,W005_V09_P07,W005_V10_P07,numeric
W005,P08,W005_V09_P08,W005_V10_P08,major_semantic
W005,P09,W005_V09_P09,W005_V10_P09,reordering
W005,P10,W005_V09_P10,W005_V10_P10,date_time
W006,P01,W006_V01_P01,W006_V02_P01,reordering
W006,P02,W006_V01_P02,W006_V02_P02,date_time
W006,P03,W006_V01_P03,W006_V02_P03,deletion
W006,P04,W006_V01_P04,W006_V02_P04,addition
W006,P05,W006_V01_P05,W006_V02_P05,requirement
W006,P06,W006_V01_P06,W006_V02_P06,policy
W006,P07,W006_V01_P07,W006_V02_P07,semantic
W006,P08,W006_V01_P08,W006_V02_P08,numeric
W006,P09,W006_V01_P09,W006_V02_P09,major_semantic
W006,P10,W006_V01_P10,W006_V02_P10,reordering
W006,P01,W006_V02_P01,W006_V03_P01,numeric
W006,P02,W006_V02_P02,W006_V03_P02,major_semantic
W006,P03,W006_V02_P03,W006_V03_P03,reordering
W006,P04,W006_V02_P04,W006_V03_P04,date_time
W006,P05,W006_V02_P05,W006_V03_P05,deletion
W006,P06,W006_V02_P06,W006_V03_P06,addition
W006,P07,W006_V02_P07,W006_V03_P07,requirement
W006,P08,W006_V02_P08,W006_V03_P08,policy
W006,P09,W006_V02_P09,W006_V03_P09,semantic
W006,P10,W006_V02_P10,W006_V03_P10,numeric
W006,P01,W006_V03_P01,W006_V04_P01,policy
W006,P02,W006_V03_P02,W006_V04_P02,semantic
W006,P03,W006_V03_P03,W006_V04_P03,numeric
W006,P04,W006_V03_P04,W006_V04_P04,major_semantic
W006,P05,W006_V03_P05,W006_V04_P05,reordering
W006,P06,W006_V03_P06,W006_V04_P06,date_time
W006,P07,W006_V03_P07,W006_V04_P07,deletion
W006,P08,W006_V03_P08,W006_V04_P08,addition
W006,P09,W006_V03_P09,W006_V04_P09,requirement
W006,P10,W006_V03_P10,W006_V04_P10,policy
W006,P01,W006_V04_P01,W006_V05_P01,addition
W006,P02,W006_V04_P02,W006_V05_P02,requirement
W006,P03,W006_V04_P03,W006_V05_P03,policy
W006,P04,W006_V04_P04,W006_V05_P04,semantic
W006,P05,W006_V04_P05,W006_V05_P05,numeric
W006,P06,W006_V04_P06,W006_V05_P06,major_semantic
W006,P07,W006_V04_P07,W006_V05_P07,reordering
W006,P08,W006_V04_P08,W006_V05_P08,date_time
W006,P09,W006_V04_P09,W006_V05_P09,deletion
W006,P10,W006_V04_P10,W006_V05_P10,addition
W006,P01,W006_V05_P01,W006_V06_P01,date_time
W006,P02,W006_V05_P02,W006_V06_P02,deletion
W006,P03,W006_V05_P03,W006_V06_P03,addition
W006,P04,W006_V05_P04,W006_V06_P04,requirement
W006,P05,W006_V05_P05,W006_V06_P05,policy
W006,P06,W006_V05_P06,W006_V06_P06,semantic
W006,P07,W006_V05_P07,W006_V06_P07,numeric
W006,P08,W006_V05_P08,W006_V06_P08,major_semantic
