change_id,website_id,page_id,from_version,to_version,chunk_index,chunk_id_from,chunk_id_to,text_equal,text_similarity,status,embedding_affected,split
CHG000027,W001,P07,V03,V04,1,W001_V03_P07_C1,W001_V04_P07_C1,no,0.103093,modified,yes,train
CHG000027,W001,P07,V03,V04,2,W001_V03_P07_C2,W001_V04_P07_C2,no,0.168889,modified,yes,train
CHG000028,W001,P08,V03,V04,1,W001_V03_P08_C1,W001_V04_P08_C1,no,0.105448,modified,yes,train
CHG000028,W001,P08,V03,V04,2,W001_V03_P08_C2,W001_V04_P08_C2,no,0.910714,modified,yes,train
CHG000029,W001,P09,V03,V04,1,W001_V03_P09_C1,W001_V04_P09_C1,no,0.603571,modified,yes,train
CHG000029,W001,P09,V03,V04,2,W001_V03_P09_C2,W001_V04_P09_C2,no,0.523282,modified,yes,train
CHG000030,W001,P10,V03,V04,1,W001_V03_P10_C1,W001_V04_P10_C1,no,0.601054,modified,yes,train
CHG000030,W001,P10,V03,V04,2,W001_V03_P10_C2,W001_V04_P10_C2,no,0.385809,modified,yes,train
CHG000031,W001,P01,V04,V05,1,W001_V04_P01_C1,W001_V05_P01_C1,no,0.088652,modified,yes,train
CHG000031,W001,P01,V04,V05,2,W001_V04_P01_C2,W001_V05_P01_C2,no,0.218263,modified,yes,train
CHG000032,W001,P02,V04,V05,1,W001_V04_P02_C1,W001_V05_P02_C1,no,0.105442,modified,yes,train
CHG000032,W001,P02,V04,V05,2,W001_V04_P02_C2,W001_V05_P02_C2,no,0.195991,modified,yes,train
CHG000033,W001,P03,V04,V05,1,W001_V04_P03_C1,W001_V05_P03_C1,no,0.08377,modified,yes,train
CHG000033,W001,P03,V04,V05,2,W001_V04_P03_C2,W001_V05_P03_C2,no,0.159645,modified,yes,train
CHG000034,W001,P04,V04,V05,1,W001_V04_P04_C1,W001_V05_P04_C1,no,0.091549,modified,yes,train
CHG000034,W001,P04,V04,V05,2,W001_V04_P04_C2,W001_V05_P04_C2,no,0.173333,modified,yes,train
CHG000035,W001,P05,V04,V05,1,W001_V04_P05_C1,W001_V05_P05_C1,no,0.088889,modified,yes,train
CHG000035,W001,P05,V04,V05,2,W001_V04_P05_C2,W001_V05_P05_C2,no,0.195991,modified,yes,train
CHG000036,W001,P06,V04,V05,1,W001_V04_P06_C1,W001_V05_P06_C1,no,0.585859,modified,yes,train
CHG000036,W001,P06,V04,V05,2,W001_V04_P06_C2,W001_V05_P06_C2,no,0.392857,modified,yes,train
CHG000037,W001,P07,V04,V05,1,W001_V04_P07_C1,W001_V05_P07_C1,no,0.590674,modified,yes,train
CHG000037,W001,P07,V04,V05,2,W001_V04_P07_C2,W001_V05_P07_C2,no,0.199115,modified,yes,train
CHG000038,W001,P08,V04,V05,1,W001_V04_P08_C1,W001_V05_P08_C1,no,0.08377,modified,yes,train
CHG000038,W001,P08,V04,V05,2,W001_V04_P08_C2,W001_V05_P08_C2,no,0.381166,modified,yes,train
CHG000039,W001,P09,V04,V05,1,W001_V04_P09_C1,W001_V05_P09_C1,no,0.087413,modified,yes,train
CHG000039,W001,P09,V04,V05,2,W001_V04_P09_C2,W001_V05_P09_C2,no,0.380531,modified,yes,train
CHG000040,W001,P10,V04,V05,1,W001_V04_P10_C1,W001_V05_P10_C1,no,0.096257,modified,yes,train
CHG000040,W001,P10,V04,V05,2,W001_V04_P10_C2,W001_V05_P10_C2,no,0.168142,modified,yes,train
CHG000041,W001,P01,V05,V06,1,W001_V05_P01_C1,W001_V06_P01_C1,no,0.089127,modified,yes,train
CHG000041,W001,P01,V05,V06,2,W001_V05_P01_C2,W001_V06_P01_C2,no,0.182222,modified,yes,train
CHG000042,W001,P02,V05,V06,1,W001_V05_P02_C1,W001_V06_P02_C1,no,0.098305,modified,yes,train
CHG000042,W001,P02,V05,V06,2,W001_V05_P02_C2,W001_V06_P02_C2,no,0.200445,modified,yes,train
CHG000043,W001,P03,V05,V06,1,W001_V05_P03_C1,W001_V06_P03_C1,no,0.626335,modified,yes,train
CHG000043,W001,P03,V05,V06,2,W001_V05_P03_C2,W001_V06_P03_C2,no,0.919643,modified,yes,train
CHG000044,W001,P04,V05,V06,1,W001_V05_P04_C1,W001_V06_P04_C1,no,0.587413,modified,yes,train
CHG000044,W001,P04,V05,V06,2,W001_V05_P04_C2,W001_V06_P04_C2,no,0.388521,modified,yes,train
CHG000045,W001,P05,V05,V06,1,W001_V05_P05_C1,W001_V06_P05_C1,no,0.09215,modified,yes,train
CHG000045,W001,P05,V05,V06,2,W001_V05_P05_C2,W001_V06_P05_C2,no,0.210291,modified,yes,train
CHG000046,W001,P06,V05,V06,1,W001_V05_P06_C1,W001_V06_P06_C1,no,0.091681,modified,yes,train
CHG000046,W001,P06,V05,V06,2,W001_V05_P06_C2,W001_V06_P06_C2,no,0.379464,modified,yes,train
CHG000047,W001,P07,V05,V06,1,W001_V05_P07_C1,W001_V06_P07_C1,no,0.604167,modified,yes,train
CHG000047,W001,P07,V05,V06,2,W001_V05_P07_C2,W001_V06_P07_C2,no,0.167401,modified,yes,train
CHG000048,W001,P08,V05,V06,1,W001_V05_P08_C1,W001_V06_P08_C1,no,0.586207,modified,yes,train
CHG000048,W001,P08,V05,V06,2,W001_V05_P08_C2,W001_V06_P08_C2,no,0.174497,modified,yes,train
CHG000049,W001,P09,V05,V06,1,W001_V05_P09_C1,W001_V06_P09_C1,no,0.090909,modified,yes,train
CHG000049,W001,P09,V05,V06,2,W001_V05_P09_C2,W001_V06_P09_C2,no,0.21286,modified,yes,train
CHG000050,W001,P10,V05,V06,1,W001_V05_P10_C1,W001_V06_P10_C1,no,0.087108,modified,yes,train
CHG000050,W001,P10,V05,V06,2,W001_V05_P10_C2,W001_V06_P10_C2,no,0.886414,modified,yes,train
CHG000051,W001,P01,V06,V07,1,W001_V06_P01_C1,W001_V07_P01_C1,no,0.089445,modified,yes,train
CHG000051,W001,P01,V06,V07,2,W001_V06_P01_C2,W001_V07_P01_C2,no,0.198675,modified,yes,train
CHG000052,W001,P02,V06,V07,1,W001_V06_P02_C1,W001_V07_P02_C1,no,0.092943,modified,yes,train
CHG000052,W001,P02,V06,V07,2,W001_V06_P02_C2,W001_V07_P02_C2,no,0.910714,modified,yes,train
CHG000053,W001,P03,V06,V07,1,W001_V06_P03_C1,W001_V07_P03_C1,no,0.088339,modified,yes,train
CHG000053,W001,P03,V06,V07,2,W001_V06_P03_C2,W001_V07_P03_C2,no,0.196429,modified,yes,train
CHG000054,W001,P04,V06,V07,1,W001_V06_P04_C1,W001_V07_P04_C1,no,0.10087,modified,yes,train
CHG000054,W001,P04,V06,V07,2,W001_V06_P04_C2,W001_V07_P04_C2,no,0.176211,modified,yes,train
CHG000055,W001,P05,V06,V07,1,W001_V06_P05_C1,W001_V07_P05_C1,no,0.092624,modified,yes,train
CHG000055,W001,P05,V06,V07,2,W001_V06_P05_C2,W001_V07_P05_C2,no,0.169643,modified,yes,train
CHG000056,W001,P06,V06,V07,1,W001_V06_P06_C1,W001_V07_P06_C1,no,0.0954,modified,yes,train
CHG000056,W001,P06,V06,V07,2,W001_V06_P06_C2,W001_V07_P06_C2,no,0.388393,modified,yes,train
CHG000057,W001,P07,V06,V07,1,W001_V06_P07_C1,W001_V07_P07_C1,no,0.089965,modified,yes,train
CHG000057,W001,P07,V06,V07,2,W001_V06_P07_C2,W001_V07_P07_C2,no,0.501109,modified,yes,train
CHG000058,W001,P08,V06,V07,1,W001_V06_P08_C1,W001_V07_P08_C1,no,0.105079,modified,yes,train
CHG000058,W001,P08,V06,V07,2,W001_V06_P08_C2,W001_V07_P08_C2,no,0.199557,modified,yes,train
CHG000059,W001,P09,V06,V07,1,W001_V06_P09_C1,W001_V07_P09_C1,no,0.671304,modified,yes,train
CHG000059,W001,P09,V06,V07,2,W001_V06_P09_C2,W001_V07_P09_C2,no,0.215247,modified,yes,train
CHG000060,W001,P10,V06,V07,1,W001_V06_P10_C1,W001_V07_P10_C1,no,0.111498,modified,yes,train
CHG000060,W001,P10,V06,V07,2,W001_V06_P10_C2,W001_V07_P10_C2,no,0.456763,modified,yes,train
CHG000061,W001,P01,V07,V08,1,W001_V07_P01_C1,W001_V08_P01_C1,no,0.085868,modified,yes,train
CHG000061,W001,P01,V07,V08,2,W001_V07_P01_C2,W001_V08_P01_C2,no,0.159645,modified,yes,train
CHG000062,W001,P02,V07,V08,1,W001_V07_P02_C1,W001_V08_P02_C1,no,0.099315,modified,yes,train
CHG000062,W001,P02,V07,V08,2,W001_V07_P02_C2,W001_V08_P02_C2,no,0.177778,modified,yes,train
CHG000063,W001,P03,V07,V08,1,W001_V07_P03_C1,W001_V08_P03_C1,no,0.091388,modified,yes,train
CHG000063,W001,P03,V07,V08,2,W001_V07_P03_C2,W001_V08_P03_C2,no,0.892857,modified,yes,train
CHG000064,W001,P04,V07,V08,1,W001_V07_P04_C1,W001_V08_P04_C1,no,0.084359,modified,yes,train
CHG000064,W001,P04,V07,V08,2,W001_V07_P04_C2,W001_V08_P04_C2,no,0.380531,modified,yes,train
CHG000065,W001,P05,V07,V08,1,W001_V07_P05_C1,W001_V08_P05_C1,no,0.091993,modified,yes,train
CHG000065,W001,P05,V07,V08,2,W001_V07_P05_C2,W001_V08_P05_C2,no,0.217295,modified,yes,train
CHG000066,W001,P06,V07,V08,1,W001_V07_P06_C1,W001_V08_P06_C1,no,0.705479,modified,yes,train
CHG000066,W001,P06,V07,V08,2,W001_V07_P06_C2,W001_V08_P06_C2,no,0.197309,modified,yes,train
CHG000067,W001,P07,V07,V08,1,W001_V07_P07_C1,W001_V08_P07_C1,no,0.612676,modified,yes,train
CHG000067,W001,P07,V07,V08,2,W001_V07_P07_C2,W001_V08_P07_C2,no,0.390244,modified,yes,train
CHG000068,W001,P08,V07,V08,1,W001_V07_P08_C1,W001_V08_P08_C1,no,0.576923,modified,yes,train
CHG000068,W001,P08,V07,V08,2,W001_V07_P08_C2,W001_V08_P08_C2,no,0.16777,modified,yes,train
CHG000069,W001,P09,V07,V08,1,W001_V07_P09_C1,W001_V08_P09_C1,no,0.104167,modified,yes,train
CHG000069,W001,P09,V07,V08,2,W001_V07_P09_C2,W001_V08_P09_C2,no,0.174497,modified,yes,train
CHG000070,W001,P10,V07,V08,1,W001_V07_P10_C1,W001_V08_P10_C1,no,0.609155,modified,yes,train
CHG000070,W001,P10,V07,V08,2,W001_V07_P10_C2,W001_V08_P10_C2,no,0.492239,modified,yes,train
CHG000071,W001,P01,V08,V09,1,W001_V08_P01_C1,W001_V09_P01_C1,no,0.087873,modified,yes,train
CHG000071,W001,P01,V08,V09,2,W001_V08_P01_C2,W001_V09_P01_C2,no,0.888393,modified,yes,train
CHG000072,W001,P02,V08,V09,1,W001_V08_P02_C1,W001_V09_P02_C1,no,0.081081,modified,yes,train
CHG000072,W001,P02,V08,V09,2,W001_V08_P02_C2,W001_V09_P02_C2,no,0.211921,modified,yes,train
CHG000073,W001,P03,V08,V09,1,W001_V08_P03_C1,W001_V09_P03_C1,no,0.721724,modified,yes,train
CHG000073,W001,P03,V08,V09,2,W001_V08_P03_C2,W001_V09_P03_C2,no,0.206278,modified,yes,train
CHG000074,W001,P04,V08,V09,1,W001_V08_P04_C1,W001_V09_P04_C1,no,0.088652,modified,yes,train
CHG000074,W001,P04,V08,V09,2,W001_V08_P04_C2,W001_V09_P04_C2,no,0.208426,modified,yes,train
CHG000075,W001,P05,V08,V09,1,W001_V08_P05_C1,W001_V09_P05_C1,no,0.595238,modified,yes,train
CHG000075,W001,P05,V08,V09,2,W001_V08_P05_C2,W001_V09_P05_C2,no,0.325991,modified,yes,train
CHG000076,W001,P06,V08,V09,1,W001_V08_P06_C1,W001_V09_P06_C1,no,0.629948,modified,yes,train
CHG000076,W001,P06,V08,V09,2,W001_V08_P06_C2,W001_V09_P06_C2,no,0.303571,modified,yes,train
CHG000077,W001,P07,V08,V09,1,W001_V08_P07_C1,W001_V09_P07_C1,no,0.112478,modified,yes,train
CHG000077,W001,P07,V08,V09,2,W001_V08_P07_C2,W001_V09_P07_C2,no,0.399113,modified,yes,train
CHG000078,W001,P08,V08,V09,1,W001_V08_P08_C1,W001_V09_P08_C1,no,0.094077,modified,yes,train
CHG000078,W001,P08,V08,V09,2,W001_V08_P08_C2,W001_V09_P08_C2,no,0.890869,modified,yes,train
CHG000079,W001,P09,V08,V09,1,W001_V08_P09_C1,W001_V09_P09_C1,no,0.094903,modified,yes,train
CHG000079,W001,P09,V08,V09,2,W001_V08_P09_C2,W001_V09_P09_C2,no,0.915556,modified,yes,train
CHG000080,W001,P10,V08,V09,1,W001_V08_P10_C1,W001_V09_P10_C1,no,0.652632,modified,yes,train
CHG000080,W001,P10,V08,V09,2,W001_V08_P10_C2,W001_V09_P10_C2,no,0.457778,modified,yes,train
CHG000081,W001,P01,V09,V10,1,W001_V09_P01_C1,W001_V10_P01_C1,no,0.487889,modified,yes,train
CHG000081,W001,P01,V09,V10,2,W001_V09_P01_C2,W001_V10_P01_C2,no,0.383073,modified,yes,train
CHG000082,W001,P02,V09,V10,1,W001_V09_P02_C1,W001_V10_P02_C1,no,0.617997,modified,yes,train
CHG000082,W001,P02,V09,V10,2,W001_V09_P02_C2,W001_V10_P02_C2,no,0.171806,modified,yes,train
CHG000083,W001,P03,V09,V10,1,W001_V09_P03_C1,W001_V10_P03_C1,no,0.102655,modified,yes,train
CHG000083,W001,P03,V09,V10,2,W001_V09_P03_C2,W001_V10_P03_C2,no,0.174497,modified,yes,train
CHG000084,W001,P04,V09,V10,1,W001_V09_P04_C1,W001_V10_P04_C1,no,0.092527,modified,yes,train
CHG000084,W001,P04,V09,V10,2,W001_V09_P04_C2,W001_V10_P04_C2,no,0.501109,modified,yes,train
CHG000085,W001,P05,V09,V10,1,W001_V09_P05_C1,W001_V10_P05_C1,no,0.081494,modified,yes,train
CHG000085,W001,P05,V09,V10,2,W001_V09_P05_C2,W001_V10_P05_C2,no,0.37694,modified,yes,train
CHG000086,W001,P06,V09,V10,1,W001_V09_P06_C1,W001_V10_P06_C1,no,0.084602,modified,yes,train
CHG000086,W001,P06,V09,V10,2,W001_V09_P06_C2,W001_V10_P06_C2,no,0.386667,modified,yes,train
CHG000087,W001,P07,V09,V10,1,W001_V09_P07_C1,W001_V10_P07_C1,no,0.543253,modified,yes,train
CHG000087,W001,P07,V09,V10,2,W001_V09_P07_C2,W001_V10_P07_C2,no,0.890869,modified,yes,train
CHG000088,W001,P08,V09,V10,1,W001_V09_P08_C1,W001_V10_P08_C1,no,0.095915,modified,yes,train
CHG000088,W001,P08,V09,V10,2,W001_V09_P08_C2,W001_V10_P08_C2,no,0.463252,modified,yes,train
CHG000089,W001,P09,V09,V10,1,W001_V09_P09_C1,W001_V10_P09_C1,no,0.09894,modified,yes,train
CHG000089,W001,P09,V09,V10,2,W001_V09_P09_C2,W001_V10_P09_C2,no,0.168514,modified,yes,train
CHG000090,W001,P10,V09,V10,1,W001_V09_P10_C1,W001_V10_P10_C1,no,0.614311,modified,yes,train
CHG000090,W001,P10,V09,V10,2,W001_V09_P10_C2,W001_V10_P10_C2,no,0.177778,modified,yes,train
CHG000091,W002,P01,V01,V02,1,W002_V01_P01_C1,W002_V02_P01_C1,no,0.087719,modified,yes,train
CHG000091,W002,P01,V01,V02,2,W002_V01_P01_C2,W002_V02_P01_C2,no,0.890869,modified,yes,train
CHG000092,W002,P02,V01,V02,1,W002_V01_P02_C1,W002_V02_P02_C1,no,0.577703,modified,yes,train
CHG000092,W002,P02,V01,V02,2,W002_V01_P02_C2,W002_V02_P02_C2,no,0.891353,modified,yes,train
CHG000093,W002,P03,V01,V02,1,W002_V01_P03_C1,W002_V02_P03_C1,no,0.565905,modified,yes,train
CHG000093,W002,P03,V01,V02,2,W002_V01_P03_C2,W002_V02_P03_C2,no,0.897321,modified,yes,train
CHG000094,W002,P04,V01,V02,1,W002_V01_P04_C1,W002_V02_P04_C1,no,0.089655,modified,yes,train
CHG000094,W002,P04,V01,V02,2,W002_V01_P04_C2,W002_V02_P04_C2,no,0.201342,modified,yes,train
CHG000095,W002,P05,V01,V02,1,W002_V01_P05_C1,W002_V02_P05_C1,no,0.614601,modified,yes,train
CHG000095,W002,P05,V01,V02,2,W002_V01_P05_C2,W002_V02_P05_C2,no,0.916854,modified,yes,train
CHG000096,W002,P06,V01,V02,1,W002_V01_P06_C1,W002_V02_P06_C1,no,0.088737,modified,yes,train
CHG000096,W002,P06,V01,V02,2,W002_V01_P06_C2,W002_V02_P06_C2,no,0.857143,modified,yes,train
CHG000097,W002,P07,V01,V02,1,W002_V01_P07_C1,W002_V02_P07_C1,no,0.09375,modified,yes,train
CHG000097,W002,P07,V01,V02,2,W002_V01_P07_C2,W002_V02_P07_C2,no,0.660714,modified,yes,train
CHG000098,W002,P08,V01,V02,1,W002_V01_P08_C1,W002_V02_P08_C1,no,0.099291,modified,yes,train
CHG000098,W002,P08,V01,V02,2,W002_V01_P08_C2,W002_V02_P08_C2,no,0.914414,modified,yes,train
CHG000099,W002,P09,V01,V02,1,W002_V01_P09_C1,W002_V02_P09_C1,no,0.08881,modified,yes,train
CHG000099,W002,P09,V01,V02,2,W002_V01_P09_C2,W002_V02_P09_C2,no,0.919283,modified,yes,train
CHG000100,W002,P10,V01,V02,1,W002_V01_P10_C1,W002_V02_P10_C1,no,0.091873,modified,yes,train
CHG000100,W002,P10,V01,V02,2,W002_V01_P10_C2,W002_V02_P10_C2,no,0.887417,modified,yes,train
CHG000101,W002,P01,V02,V03,1,W002_V02_P01_C1,W002_V03_P01_C1,no,0.104348,modified,yes,train
CHG000101,W002,P01,V02,V03,2,W002_V02_P01_C2,W002_V03_P01_C2,no,0.902935,modified,yes,train
CHG000102,W002,P02,V02,V03,1,W002_V02_P02_C1,W002_V03_P02_C1,no,0.087838,modified,yes,train
CHG000102,W002,P02,V02,V03,2,W002_V02_P02_C2,W002_V03_P02_C2,no,0.891353,modified,yes,train
CHG000103,W002,P03,V02,V03,1,W002_V02_P03_C1,W002_V03_P03_C1,no,0.084211,modified,yes,train
CHG000103,W002,P03,V02,V03,2,W002_V02_P03_C2,W002_V03_P03_C2,no,0.837416,modified,yes,train
CHG000104,W002,P04,V02,V03,1,W002_V02_P04_C1,W002_V03_P04_C1,no,0.105634,modified,yes,train
CHG000104,W002,P04,V02,V03,2,W002_V02_P04_C2,W002_V03_P04_C2,no,0.678571,modified,yes,train
CHG000105,W002,P05,V02,V03,1,W002_V02_P05_C1,W002_V03_P05_C1,no,0.484429,modified,yes,train
CHG000105,W002,P05,V02,V03,2,W002_V02_P05_C2,W002_V03_P05_C2,no,0.896396,modified,yes,train
CHG000106,W002,P06,V02,V03,1,W002_V02_P06_C1,W002_V03_P06_C1,no,0.089194,modified,yes,train
CHG000106,W002,P06,V02,V03,2,W002_V02_P06_C2,W002_V03_P06_C2,no,0.903371,modified,yes,train
CHG000107,W002,P07,V02,V03,1,W002_V02_P07_C1,W002_V03_P07_C1,no,0.088183,modified,yes,train
CHG000107,W002,P07,V02,V03,2,W002_V02_P07_C2,W002_V03_P07_C2,no,0.904656,modified,yes,train
CHG000108,W002,P08,V02,V03,1,W002_V02_P08_C1,W002_V03_P08_C1,no,0.088968,modified,yes,train
CHG000108,W002,P08,V02,V03,2,W002_V02_P08_C2,W002_V03_P08_C2,no,0.895928,modified,yes,train
CHG000109,W002,P09,V02,V03,1,W002_V02_P09_C1,W002_V03_P09_C1,no,0.119718,modified,yes,train
CHG000109,W002,P09,V02,V03,2,W002_V02_P09_C2,W002_V03_P09_C2,no,0.898876,modified,yes,train
CHG000110,W002,P10,V02,V03,1,W002_V02_P10_C1,W002_V03_P10_C1,no,0.098765,modified,yes,train
CHG000110,W002,P10,V02,V03,2,W002_V02_P10_C2,W002_V03_P10_C2,no,0.819383,modified,yes,train
CHG000111,W002,P01,V03,V04,1,W002_V03_P01_C1,W002_V04_P01_C1,no,0.088183,modified,yes,train
CHG000111,W002,P01,V03,V04,2,W002_V03_P01_C2,W002_V04_P01_C2,no,0.666667,modified,yes,train
CHG000112,W002,P02,V03,V04,1,W002_V03_P02_C1,W002_V04_P02_C1,no,0.08489,modified,yes,train
CHG000112,W002,P02,V03,V04,2,W002_V03_P02_C2,W002_V04_P02_C2,no,0.902655,modified,yes,train
CHG000113,W002,P03,V03,V04,1,W002_V03_P03_C1,W002_V04_P03_C1,no,0.096257,modified,yes,train
CHG000113,W002,P03,V03,V04,2,W002_V03_P03_C2,W002_V04_P03_C2,no,0.892377,modified,yes,train
CHG000114,W002,P04,V03,V04,1,W002_V03_P04_C1,W002_V04_P04_C1,no,0.089286,modified,yes,train
CHG000114,W002,P04,V03,V04,2,W002_V03_P04_C2,W002_V04_P04_C2,no,0.903803,modified,yes,train
CHG000115,W002,P05,V03,V04,1,W002_V03_P05_C1,W002_V04_P05_C1,no,0.083189,modified,yes,train
CHG000115,W002,P05,V03,V04,2,W002_V03_P05_C2,W002_V04_P05_C2,no,0.899777,modified,yes,train
CHG000116,W002,P06,V03,V04,1,W002_V03_P06_C1,W002_V04_P06_C1,no,0.08547,modified,yes,train
CHG000116,W002,P06,V03,V04,2,W002_V03_P06_C2,W002_V04_P06_C2,no,0.917226,modified,yes,train
CHG000117,W002,P07,V03,V04,1,W002_V03_P07_C1,W002_V04_P07_C1,no,0.087566,modified,yes,train
CHG000117,W002,P07,V03,V04,2,W002_V03_P07_C2,W002_V04_P07_C2,no,0.845133,modified,yes,train
CHG000118,W002,P08,V03,V04,1,W002_V03_P08_C1,W002_V04_P08_C1,no,0.09507,modified,yes,train
